Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium 2 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	15:10:00	15:15:04	15:20:03	15:25:03	15:30:04	15:35:03	15:40:04	15:45:04	15:50:04	15:55:04	16:00:04	16:05:04	16:10:04	16:15:04	16:20:04	16:25:04	16:30:04	16:35:04	16:40:04	16:45:04	16:50:04
Diameter Midpoint
105.5	262.36	123.275	411.685	360.879	317.001	388.979	404.768	276.651	432.56	191.913	155.528	100.624	246.523	105.793	150.493	51.398	120.183	142.408	60.0571	103.522	65.968
109.4	177.398	328.417	448.211	515.33	522.512	453.045	328.334	278.077	186.83	143.755	184.579	143.755	151.019	201.359	170.133	117.459	134.239	93.4148	184.579	129.392	127.058
113.4	191.037	350.906	382.074	331.925	391.637	613.412	377.185	350.906	317.616	202.721	119.137	167.166	150.45	93.002	217.173	217.316	93.002	133.733	83.5832	114.608	107.454
117.6	122.748	262.62	364.744	361.55	421.175	369.333	355.403	279.199	298.427	276.55	130.531	116.055	139.327	80.2477	139.872	215.531	139.872	132.634	49.7378	99.4757	132.634
121.9	257.675	191.589	446.081	399.699	639.146	639.146	379.995	290.718	264.344	267.527	214.78	165.215	191.589	194.541	115.651	148.694	82.6076	214.78	117.127	100.605	148.694
126.3	148.196	257.155	306.553	257.155	566.094	508.981	411.655	263.459	263.459	164.662	135.587	207.756	115.263	138.949	82.331	119.121	65.8648	131.73	179.657	123.954	49.3986
131.0	295.172	186.829	252.217	432.497	484.441	556.987	360.294	360.825	245.933	180.28	193.114	121.177	81.8006	71.937	213.372	143.874	180.545	82.066	98.2138	154.003	32.8264
135.8	262.063	379.386	294.788	389.065	540.224	413.169	386.28	376.6	166.939	343.875	101.225	74.6	131.164	35.7749	98.1745	65.4496	264.849	147.262	131.164	117.587	81.8121
140.7	196.671	230.032	376.953	470.344	367.839	495.898	489.788	393.342	237.308	245.839	111.67	171.116	101.973	78.8912	49.1678	69.1948	177.227	131.114	196.671	144.448	163.893
145.9	246.276	341.142	379.064	256.846	538.84	618.051	373.216	197.021	186.088	114.929	117.81	147.765	78.4477	98.5103	164.184	144.121	131.347	82.0919	65.6735	262.694	147.765
151.2	130.986	271.18	293.281	420.685	519.633	417.103	435.621	229.225	160.15	209.27	140.903	180.105	196.479	16.3732	98.2393	81.8661	81.8661	78.2838	94.657	65.4929	98.2393
156.8	229.687	240.147	300.234	254.605	567.655	482.959	385.854	360.937	200.464	167.652	254.605	228.046	196.875	114.844	213.281	147.656	114.844	156.167	69.2144	201.796	168.984
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
