Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low 2(Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	11:18:30	11:23:33	11:28:33	11:33:33	11:38:34	11:43:33	11:48:34	11:53:34	11:58:34	12:03:34	12:08:34	12:13:34	12:18:34	12:23:34	12:28:34	12:33:34	12:38:34	12:43:34	12:48:34	12:53:34	12:58:34	13:03:34
Diameter Midpoint
 49.6	1162.38	7253.15	1776.72	1928.13	2079.97	1869.25	1361.34	1521.49	1265.33	700.484	764.726	470.845	598.041	398.569	328.546	209.678	245.577	108.552	67.6909	60.4807	18.6861	144.702
 51.4	1784.29	2388.99	1888.7	1720.23	1760.19	1565.6	1904.66	1393.65	1241.2	972.367	734.745	610.263	598.625	134.366	394.098	471.419	210.333	107.438	65.1395	193.685	63.1096	0
 53.3	1787.27	1418.35	3322.56	1413.12	1789.52	1697.64	1443.39	1172.8	1112.16	544.568	642.77	465.057	437.467	447.069	407.385	176.685	220.528	246.26	168.87	282.68	110.699	55.8404
 55.2	1448.12	1859	4527.51	1910.41	1644.41	1558.99	1954.54	1549.84	928.799	860.861	758.156	552.474	346.174	315.002	312.081	234.315	208.181	119.773	170.074	206.753	61.1414	57.5391
 57.3	1666.1	1692.9	1484.67	1620.01	2052.08	1792.92	1576.26	1315.04	1240.95	974.012	620.322	582.483	703.715	294.323	225.688	181.438	271.571	157.885	151.424	101.667	215.663	32.5659
 59.4	1601.64	1605.26	1621.74	1296.35	1717.34	1707.98	1608.15	1335.94	1059.52	1049.87	607.878	373.368	202.314	409.612	368.954	234.359	172.541	129.928	119.437	133.308	57.2765	56.1991
 61.5	1563.97	1765.59	1534.63	1422.22	1071.23	1168.28	1335.84	1208.19	1008.52	805.973	457.006	572.981	338.823	269.474	187.11	212.485	255.858	173.676	79.0127	52.8699	70.834	130.346
 63.8	1291.37	1727.69	1456.98	1308.4	1518.27	1288.58	1734.08	1094.58	1351.06	743.838	551.319	466.371	386.883	251.3	348.973	322.747	185.049	235.406	33.1406	74.0248	154.331	82.9476
 66.1	1433.05	1652.73	1194.06	1567.55	1405.45	1363.7	1434.58	998.944	1095.02	536.467	585.764	542.621	372.604	478.476	262.753	156.474	147.045	118.344	73.8028	75.0699	61.5685	152.735
 68.5	1889.53	1527.35	1425.26	1737.39	1507.77	1401.13	1386.34	978.056	672.687	566.822	512.852	286.345	181.654	312.241	282.795	261.847	131.636	70.7655	132.967	66.1316	72.4676	91.1479
 71.0	13206	1247.03	1229.64	1417.48	1255.11	1420.58	1199.9	1225.21	812.492	741.611	435.124	407.119	249.809	261.291	157.508	85.7779	174.983	54.6383	139.733	28.3359	52.5637	28.726
 73.7	5981.83	1485.46	1136.91	1024.98	1076.41	807.985	956.242	844.666	733.93	579.711	421.167	376.615	205.363	106.617	257.771	206.774	146.119	244.117	0	84.7082	60.6807	80.9332
 76.4	2068.72	1087.48	1414.16	1137.79	1168.88	1198.36	1214.07	702.601	793.43	503.062	548.913	315.216	223.846	98.777	115.069	98.7403	93.0404	107.249	124.598	46.8583	104.582	112.83
 79.1	1191.14	1032.06	1384.45	1275.81	1399.21	1350.92	1389.54	1009.71	467.928	553.688	451.42	450.593	217.063	360.439	198.347	112.064	166.408	56.3608	197.528	112.858	35.4422	126.061
 82.0	992.081	1166.14	994.877	1063.87	1331.52	872.03	861.747	887.672	514.272	623.604	309.914	275.975	229.152	124.42	23.3423	175.473	176.746	147.289	11.9647	69.7503	77.7195	63.9856
