Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Cool1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	19:25:22	19:30:26	19:35:26	19:40:26	19:45:26	19:50:26	19:55:26	20:00:26	20:05:26	20:10:26	20:15:26	20:20:26	20:25:26	20:30:26	20:35:26	20:40:26	20:45:26	20:50:26	20:55:26	21:00:26	21:05:26	21:10:26	21:15:26
Diameter Midpoint
 68.5	320.129	26916.6	21241.7	19671	18551.2	15461.2	14668.2	12737.6	9799.65	4428.85	1742.85	972.447	468.198	151.46	14.8209	30.158	19.179	18.6177	0	38.6605	0	18.2381	18.1788
 71.0	356.173	25361.4	20343.2	17418.3	16723.8	15547.9	13133.5	12261.4	9229.98	3775.97	1704.67	512.242	516.054	249.31	117.336	41.9036	31.5605	7.52999	16.7399	75.9246	0	27.3505	33.8423
 73.7	336.834	22978.5	17633.1	15663.3	15015.1	14350	12610.3	11112.8	8273.45	3553.2	1333.3	584.771	291.217	163.193	160.75	22.1654	65.4997	65.6024	31.1898	66.55	14.6112	52.1474	0
 76.4	305.229	22062.8	16119.8	15738.6	13682.9	13541.3	12069.4	9980.53	8327.77	3045.63	1424.99	662.014	240.856	130.646	113.754	92.5324	28.2367	0	63.6136	0	109.708	14.2061	0
 79.1	346.539	20325.8	16548.9	15094.8	13710	12738	11408.8	10248.3	6945.44	3479.67	1241.24	683.947	314.77	87.7233	73.8424	0	84.1705	35.3072	48.1033	0	72.5595	23.3129	11.3652
 82.0	185.695	19401.9	15567.1	14633.4	13735	12617.9	12082.1	10283.1	6723.29	2793.51	1521.62	392.139	186.132	56.7682	6.70124	36.9985	26.0171	37.7346	0	7.02092	24.0867	47.2613	48.7911
 85.1	223.595	18749	15889.6	14414.9	13225.5	12698.6	11136.1	10305.5	7436.59	3450.85	1360.19	724.564	400.246	130.861	36.1534	79.3815	44.2091	47.1325	5.98006	0	40.7406	35.1724	33.0902
 88.2	289.131	19684.4	16059.1	13684.8	12500.2	11966.8	10886.6	9418.18	7385.44	2880.41	1291.91	842.257	311.83	113.272	112.878	14.7903	53.4674	83.9296	24.2174	41.0584	32.4937	31.5663	0
 91.4	174.239	18011.4	15892.8	13612.8	13505.2	11679.4	11054.8	9868.67	7520.22	2410.69	1475.06	686.176	108.553	122.085	74.0985	15.0885	18.3169	8.9116	45.5359	6.17685	0	0	46.8654
 94.7	238.46	17299.3	13895.9	13973.7	12191.9	11089.8	10451.9	9151.28	7258.71	2839.17	1246.06	647.449	305.042	158.581	101.715	19.6021	19.8536	8.35784	0	27.7661	28.2429	33.8315	4.4016
 98.2	260.369	16597.6	14870.6	13186.8	12663.1	12197.5	9413.77	9345.39	6821.03	2939.81	1111.78	417.544	223.945	113.391	79.8456	62.1037	35.2545	37.5461	22.2181	0	12.5234	0	25.0948
101.8	430.81	16517	13956.5	13011.9	12446.8	11445.6	9817.29	9428.36	7099.75	3355.62	946.364	739.007	318.627	58.0935	163.545	52.2498	0	3.1186	6.58375	9.38408	42.6905	11.4726	7.83215
105.5	406.664	19208.6	17252.4	16865.9	14899.4	13681.4	13112.8	12025.7	7735.59	3255.93	1350.65	1037.61	467.976	115.015	109.416	80.9999	33.9319	64.0755	11.4912	30.2267	29.6834	64.0755	27.8723
109.4	416.901	20992.6	20031.9	18666.3	16621.7	15937.1	14999.5	13394.8	8570.63	3964.11	1519.61	877.14	474.422	179.648	127.058	67.1197	93.4148	50.3398	33.5599	26.3785	16.7799	16.7799	117.459
113.4	398.791	22997.1	20217.3	19650.5	16549.8	14908.2	15359.9	13146.8	8920.25	4127.14	1795.26	730.211	491.937	183.739	74.0208	83.5832	83.5832	16.7166	50.1499	16.573	16.7166	16.7166	33.4333
117.6	470.913	21567.8	19705.9	18969.9	15681.6	16023.4	14460.4	13672.3	9097.61	3877.97	1969.03	649.078	371.437	139.872	66.3171	132.634	33.1586	33.1586	33.1586	7.23788	0	66.3171	33.1586
121.9	407.845	20831.3	19674	17516.6	15868.9	15893.4	14630.9	12412.1	7967.49	3851.34	1295.76	871.923	323.761	148.694	100.605	132.172	33.043	33.043	16.5215	33.043	49.5646	33.043	16.5215
126.3	377.251	22550.8	19460.3	17682.1	16528.1	15353.8	14218.5	12950.7	8077.51	4225.17	1502.64	797.597	388.884	246.993	163.191	32.9324	32.9324	32.9324	49.3986	82.331	32.9324	0	16.4662
131.0	442.626	20684.5	19609.5	18562.8	16400.6	15916.7	14614.6	13485.4	8728.05	4397.65	1710.79	465.588	383.788	180.545	98.4792	82.066	65.6528	16.4132	49.2396	49.2396	32.8264	16.4132	0
135.8	396.277	20521.7	18493.5	17823.8	15460.6	15227.7	13969.1	12963.3	8171.49	3902.47	1554.38	507.499	376.335	199.399	81.8121	81.8121	81.8121	32.7248	35.7749	49.0872	35.7749	16.3624	16.3624
140.7	324.73	21329.6	19664.5	17467.6	15667.2	16173.5	15013.9	13357.1	7408.88	3723.29	1527.11	806.711	351.45	210.005	65.557	65.557	32.7785	32.7785	13.3341	32.7785	29.7234	65.557	32.7785
145.9	280.553	20495.7	17983.9	16999	16633.9	14364	14057.5	13508.1	7791.5	4020.66	1837.06	725.968	388.193	147.765	83.5326	65.6735	82.0919	32.8368	49.2552	16.4184	16.4184	0	65.6735
151.2	306.072	19939.6	17916.4	16917.6	15609.4	15039	13613.5	12280.3	7414.83	3517.15	1855.8	820.687	293.281	261.972	80.4295	81.8661	32.7464	65.4929	16.3732	16.3732	16.3732	0	0
156.8	348.12	18646.8	17474.1	16484.4	15103.8	14362.4	14367.4	12556.8	7695.66	3467.46	1800.69	673.271	229.687	164.062	82.0311	32.8124	65.6249	32.8124	49.2186	32.8124	37.7343	32.8124	54.1405
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
