Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,19:12:35,19:17:38,19:22:38,19:27:38,19:32:38,19:37:38,19:42:38,19:47:38,19:52:38,19:57:38,20:02:38,20:07:38,20:12:38,20:17:38,20:22:38,20:27:38,20:32:38,20:37:39,20:42:38,20:47:38,20:52:38,20:57:39
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
21.7,4825.21,8973.02,10836.2,10091.6,8785.68,7699.94,6795.18,15610.9,14974.2,12722.8,13201.3,11173.2,10306.1,10516.1,9213.77,8948.4,8133.65,7200.64,7678.51,6408.92,7363.99,8435.09
22.5,4364.71,11672.8,8201.93,7182.44,7366.56,6307.66,6172.75,15976.8,13916.6,11836.1,11568.8,10573.6,9403.67,8860.91,8447.52,8020.97,7473.24,5784.99,8584.84,6130.73,7351.65,5537.01
23.3,3739.68,9649.8,8481.84,7383.12,7133.93,6080.46,6122.26,11841.4,11043,10695.3,8928.46,9651.65,8131.83,8848.82,7295.15,7009.71,7561.35,6195.2,7142.88,6378.4,5608.05,6462.45
24.1,2810.53,9545.63,7064.65,6109.8,6784.28,6456.71,6571.31,11190.4,9655.17,10423.9,9746.45,8412.43,8267.06,7977.83,7068.2,7461.18,7549.24,6575.17,5966.08,5343.29,5824.53,6526.78
25,3448.28,9498.65,7509.55,7003.22,6404.21,5732.48,5737.75,10416.3,8468.95,10268.3,8062.95,7790.18,9267.42,6840.23,6786.93,5881.82,5667.15,6653.21,6711.21,5817.16,5841.32,4583.86
25.9,2587.65,8680.85,6781.96,6486.34,6021.38,6121.84,6659.93,8781.32,9975.6,9056.07,7956.05,7441.76,6818.08,6666.67,6707.15,6434.38,6101.17,5850.87,5149.07,4210.01,7160.01,5241.74
26.9,3820.03,8126.14,7079.75,5166.68,6452,5520.06,6086.12,9423.32,8828.55,8500.75,8523.07,7403.78,7723.62,5718.87,6450.65,4269.4,6121.66,6615.47,5526.07,5332.23,5335.37,5073.22
27.9,2455.87,7112.5,6310.26,5855.07,6076.74,4953.21,4843.06,7759.4,8558.85,8108.09,6824.3,7277.74,6194.25,6860.36,6098.3,5698.53,5356.69,5614.95,3949.37,5477.35,4598.18,4953.06
28.9,2739.53,7391.05,5453.68,5422.59,4329.68,5615.94,3952.38,8047.31,8199.37,7897.75,5998.94,8022.5,6511.33,5483.1,5855.26,5639.58,5472.64,4648.15,4833.4,4464.21,5421.71,3348.84
30,2384.05,6796.41,5004.29,5588.24,4619.87,4478.74,4092.8,8171.07,7720.69,7097.38,7893.91,5954.99,6410.49,5348.86,5611.55,5062.64,4162.87,5150.76,4431.82,5111.9,3896.08,3975
