Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\High1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,8:27:00,8:32:04,8:37:04,8:42:04,8:47:04,8:52:04,8:57:04,9:02:04,9:07:04,9:12:04,9:17:04,9:22:04,9:27:04,9:32:04,9:37:04,9:42:04,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
24.1,1394.28,4355.12,33514.6,44362.1,54644.6,65380,72868.5,79948.6,55462.2,31990.1,14990.9,7732.09,3148.53,1452.78,818.322,461.661,289.438,233.26,58.4629,57.0057,524.42,458.195
25,1876.65,4615.89,26642.3,37244.6,44290.4,49345.2,58440.1,64368.4,45073.8,26270.2,12998.9,6933.71,2865.85,1605.95,387.828,440.215,384.946,51.4475,108.578,54.8281,104.949,274.395
25.9,1319.33,3874.56,23221.6,27966.4,36037.4,38210.9,42609.3,48341.1,34410.4,19996.8,9522.7,4828.92,2567.84,915.052,651.102,205.129,254.591,51.8675,0,104.74,683.38,97.9289
26.9,1238.02,3115.69,17332.8,20507.1,24943.5,32693,33404.4,37552.7,29295.5,14984.6,7970.63,3889.59,1580.9,629.378,376.345,243.889,98.7689,348.844,0,49.2577,95.1552,93.9192
27.9,1301.42,2366.59,16643.5,16252.4,20553.6,22108.5,24619.2,29652.5,21698.1,11428.5,4625.92,3094.19,1481.03,708.46,423.113,562.445,140.7,185.261,0,140.481,229.81,324.709
28.9,2089.95,2412.89,11907.7,11358.9,13698.7,14270.6,19113.1,20856.8,18514.9,9191.36,4178.42,2064.57,1010.75,648.089,400.783,440.649,179.046,241.223,0,42.5936,264.757,219.482
30,1684.57,2450.93,12513.9,8386.2,10658.8,10903.7,14523.4,13649.2,13033.1,6797.92,3634.02,1529.27,1075.42,476.836,169.321,120.345,293.102,24.285,126.148,0,162.708,207.336
31.1,1529.8,2484.31,8468.73,5431.93,7400.13,9458.68,9793.66,10715.6,8809.41,6054.73,2772.87,1658.76,664.482,216.708,118.91,283.042,228.826,74.0002,81.8105,37.1117,231.949,278.024
32.2,1089.13,2394.31,8129.76,5346.44,6034.31,6698.57,8071.06,8632.77,6720.76,4402.33,2114.84,1011.1,500.52,344.48,117.455,147.18,119.494,75.838,34.6405,37.3983,276.386,28.3348
33.4,852.279,1878.66,5588.49,3804.42,4773.8,5219.81,5177.62,5218.29,5086.91,2828.29,2195.23,668.992,329.454,256.767,370.508,296.937,179.767,68.4156,31.7175,0,331.193,68.1532
34.6,1680.4,1611.68,4217.02,3210.39,4041.87,4278.14,2916.6,3535.7,4334.28,2214.43,1639.36,612.733,284.234,461.009,38.0468,294.999,141.676,32.7138,0,69.2465,95.5363,132.763
35.9,1372.24,1599.25,3613.66,3211.98,3592.74,2902.77,3096.68,3133.92,3669.12,2167.77,1216.87,915.334,513.202,168.916,58.0958,157.382,141.002,170.713,101.281,27.9726,267.706,123.469
37.2,1921.9,1462.75,2423.58,2219.52,2220.69,2069.55,2161.46,2235.82,3043.17,1914.33,967.045,488.934,258.002,113.783,89.3407,215.197,354.503,29.4598,62.9761,29.112,79.5367,281.061
38.5,1870.34,1760.85,2390.19,2023.29,1489.29,2175.21,2100.62,1823.86,2454.34,1411.06,1135.59,937.544,410.192,121.065,186.021,242.819,56.4499,88.6336,59.0868,30.1925,169.914,213.67
40,1477.4,1609.45,2117.48,1728.31,1783.05,1702.97,1696.72,1493.89,3098.09,1278.05,579.736,344.751,458.04,119.179,118.148,206.394,53.3002,149.24,57.6657,56.9289,231.896,233.997
41.4,856.102,1589.14,2335.02,1832.71,1666.7,1191.12,1454.75,1142.62,2318.28,1087.33,1074.61,388.416,78.2263,82.804,220.916,366.184,48.2947,57.9279,71.5615,82.0827,195.14,199.702
42.9,1582.44,1604.21,2075.63,1535.64,1881.63,1690.97,1884.37,1304.04,2902.08,1448.18,485.211,486.416,275.168,187.131,60.5097,235.991,191.429,53.4433,84.9338,20.682,242.523,187.834
44.5,1443.76,1861.32,1645.83,1782.98,1694.14,1684.93,1120.04,1133.74,1878.63,854.404,522.921,545.268,246.873,99.5773,128.138,100.352,267.079,217.695,0,103.226,180.337,235.546
46.1,1354.74,1643.93,1709.21,1451.03,1340.02,1346.92,1402.59,1599.74,1854.24,1071.94,489.229,506.374,297.307,262.032,0,259.017,123.001,49.1875,92.1171,38.5546,138.518,256.276
47.8,3850.35,1685.26,1780.91,1462.72,1284.73,1453.35,1575.33,1459.66,1981.87,1028.98,766.561,270.532,208.268,121.537,136.623,83.743,192.782,149.626,143.042,70.9523,149.47,118.521
49.6,1059.65,1047.07,1426.35,1476.86,1424.18,1262.44,987.62,1162.46,1990.62,1140.54,523.003,655.03,104.628,191.007,70.5586,106.988,61.9523,68.0497,0,39.8199,268.147,215.008
51.4,959.375,1206.69,1522.53,1366.61,1055.19,1194.45,1129.24,1203.67,2033.71,945.118,357.717,350.81,92.4682,146.034,62.7883,136.237,47.4864,41.6406,43.2173,116.683,107.89,214.353
53.3,1130.78,1001.96,1451.89,1305.92,1158.45,1153.68,1212.13,1159.5,1837.18,1275.06,568.835,272.33,153.861,246.147,184.651,314.409,104.041,41.965,44.9291,84.2517,295.381,340.792
55.2,1087.02,1281.58,1114.03,1008.92,1117.63,913.206,1316.2,940.283,1519.37,851.068,688.167,216.763,99.658,108.34,106.184,133.641,109.646,104.037,90.5338,12.1338,347.119,170.656
57.3,1167.5,1241.17,1169.91,1142.82,1143.21,894.795,858.788,986.384,1390.5,1058.1,459.915,344.547,49.7109,73.5318,36.1129,87.9833,97.1016,102.507,19.4223,56.3996,223.107,185.99
59.4,1232.22,834.832,1355.87,1139.95,1092.75,1179.62,704.247,627.161,1263.84,699.762,592.67,249.638,133.775,29.175,146.068,219.373,138.622,4.36961,125.605,79.0846,157.095,70.6061
61.5,798.695,1113.15,1356.6,908.249,917.142,1031.87,794.535,780.065,1626.15,704.372,516.97,291.075,129.295,162.83,38.7595,287.801,127.777,43.3103,101.586,97.1887,153.677,155.054
63.8,625.937,911.486,903.515,696.734,907.543,1028.13,765.171,394.546,1520.09,686.522,352.329,240.246,159.5,156.586,75.255,176.775,86.8694,50.5347,101.95,81.2492,233.929,148.456
66.1,904.361,834.904,1010.27,706.323,981.744,1046.47,786.637,680.322,1198.64,580.005,410.113,249.814,68.291,64.9945,157.722,45.2794,129.779,27.7865,39.9599,78.243,131.374,140.702
68.5,690.259,742.179,826.654,542.521,905.673,800.546,680.435,594.488,1085.02,526.007,328.31,245.183,146.066,65.0928,88.8006,156.535,89.3846,66.0571,192.515,110.762,241.249,98.6315
71,565.959,849.692,531.482,586.986,683.69,768.095,712.766,466.059,1089.14,582.537,302.613,123.757,101.125,85.3947,106.741,217.081,185.503,41.8888,31.9294,120.145,194.79,107.525
73.7,994.999,638.917,700.685,644.637,528.741,699.979,648.668,755.111,978.396,524.721,376.964,149.505,121.033,95.7681,122.362,115.048,54.389,87.7375,44.0694,65.0203,102.83,94.5932
76.4,655.392,675.843,568.845,666.441,706.733,288.995,511.024,710.576,947.392,590.741,367.262,337.591,66.7625,18.1989,58.0031,149.665,62.6767,36.8186,49.4766,31.2178,132.116,95.8943
79.1,426.37,723.055,716.719,581.122,699.703,596.437,653.492,926.122,936.125,634.835,254.303,176.984,47.9714,122.212,35.343,113.948,80.3415,48.648,0,123.664,137.063,73.7848
82,612.352,759.469,575.196,642.107,637.162,478.32,619.553,628.692,973.384,468.822,201.45,344.001,116.082,13.3637,93.3528,230.416,23.9741,110.615,25.8002,54.2323,157.533,129.513
85.1,557.327,602.53,817.713,635.078,750.408,434.916,704.558,781.268,900.721,502.612,288.11,235.403,172.127,170.776,48.0963,141.802,154.599,51.3054,19.7558,91.364,183.94,113.602
88.2,805.909,829.95,552.045,590.865,675.795,536.496,518.25,799.492,804.318,652.053,298.908,239.506,114.228,64.8766,52.7059,152.219,77.5603,144.519,52.1903,44.1913,98.0378,114.749
91.4,579.755,798.171,509.642,859.406,621.133,500.668,575.875,921.048,559.924,381.613,421.772,174.74,136.15,71.4221,16.1648,52.1716,0,126.256,29.6049,69.836,117.273,119.254
94.7,480.769,632.009,776.732,481.34,566.925,652.908,516.942,1206.28,785.706,534.177,390.029,198.038,182.019,45.7726,64.4699,74.4987,119.055,57.2719,12.6307,159.031,103.017,97.9861
98.2,635.538,661.19,991.458,633.402,794.557,481.858,639.354,868.527,737.782,390.094,303.214,203.654,52.5771,105.455,22.7552,213.272,44.3471,77.4798,3.70823,108.535,54.7166,132.309
101.8,604.832,652.497,770.121,879.64,685.425,673.971,574.332,1234.15,688.094,662.474,248.476,138.049,82.3803,77.8396,68.5642,82.2746,80.4021,201.02,51.2197,62.1335,239.315,114.732
105.5,930.327,1143.38,1005.54,803.646,874.981,918.285,588.681,1224.27,823.733,490.953,285.965,310.53,176.57,41.3216,158.378,241.963,65.5941,62.2644,135.395,94.3022,88.869,145.158
109.4,793.408,1088.1,910.7,1258.31,944.344,1049.61,867.625,1296.81,1179.26,690.394,385.938,268.479,33.5599,76.7183,43.1585,162.952,172.3,33.5599,50.3398,160.618,302.039,177.314
113.4,1084.03,943.142,1129.29,818.541,878.397,1007.74,1095.86,1002.57,802.111,568.078,410.618,250.75,293.602,157.604,74.0208,157.46,133.733,76.2853,16.7166,152.427,159.869,150.45
117.6,1350.16,869.361,889.984,1133.38,1003.39,852.236,830.359,1162.49,883.291,468.809,368.788,198.951,156.451,99.4757,165.793,123.293,122.748,139.872,33.1586,161.041,239.348,99.4757
121.9,1192.5,992.767,1179.16,934.523,972.759,819.407,592.764,1425.51,772.794,541.493,416.221,462.603,198.258,132.172,132.172,132.172,257.675,82.6076,115.651,143.5,181.737,84.0837
126.3,840.691,944.816,643.097,1190.34,706.575,827.167,802.925,1276.59,846.996,692.495,376.275,181.128,164.662,131.73,125.425,191.29,98.7972,76.0265,164.662,163.191,98.7972,130.258
131,882.468,943.48,980.682,845.266,902.195,651.622,986.701,1121.59,793.056,553.673,363.53,147.719,147.719,81.8006,137.324,170.416,131.306,137.324,65.6528,81.8006,245.933,114.627
135.8,1181.14,778.977,991.16,870.787,661.126,942.866,860.525,1210.5,694.38,464.777,382.436,179.987,169.724,196.614,65.7142,101.225,81.8121,114.801,98.1745,163.889,245.701,101.489
140.7,860.1,1090.71,715.6,840.073,1112,941.412,801.184,1099.19,771.46,427.286,338.064,213.06,148.669,98.3356,81.9463,160.837,118.363,16.3893,69.1948,85.5841,180.282,131.697
145.9,762.172,972.645,872.293,835.812,785.879,940.17,771.579,659.617,749.398,586.655,331.249,182.043,109.081,147.765,82.0919,165.624,160.54,82.0919,94.8661,160.54,213.439,129.143
151.2,773.731,785.794,916.78,887.616,482.595,814.351,604.252,877.698,833.598,439.204,297.471,318.863,211.415,78.2838,0,109.594,130.986,98.2393,0,130.986,245.598,129.549
156.8,791.704,573.502,634.205,799.599,569.912,813.748,557.096,758.275,574.218,588.983,322.487,253.272,86.9529,85.6206,98.4373,151.245,131.25,49.2186,0,65.6249,114.844,131.25
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554
High Voltage,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87
Lower Size(nm),6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831
Upper Size(nm),159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634
Density(g/cc),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Title,,,,,,,,,,,,,,,,,,,,,,
Status Flag,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
td(s),2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
tf(s),0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657
D50(nm),1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41
Median(nm),19.0617,18.097,9.81024,9.50046,10.234,10.8507,11.1737,11.5622,11.832,12.0799,12.0849,12.3022,12.4359,11.5448,13.2129,15.631,19.7329,20.9748,19.7741,19.6644,21.5449,24.1018
Mean(nm),33.1093,26.6163,10.579,10.453,11.1817,11.8281,12.226,12.6997,13.1393,13.4901,13.7049,14.3368,14.9981,14.9792,18.6564,26.8103,32.5553,36.5936,36.5242,42.9364,38.155,39.2718
Geo. Mean(nm),22.0892,20.8824,10.1079,10.0242,10.6682,11.2089,11.5159,11.8704,12.1637,12.3843,12.4253,12.7226,13.0649,12.6008,14.5916,18.8354,22.1674,25.3306,24.7731,26.0839,25.2802,27.512
Mode(nm),8.2047,20.908,7.10497,7.63506,7.91476,8.50526,7.36525,7.36525,7.36525,7.36525,7.36525,7.91476,8.81683,8.81683,7.36525,9.47464,7.36525,10.1815,7.91476,7.36525,10.5545,7.91476
Geo. Std. Dev.,2.36497,1.83496,1.31622,1.30989,1.33553,1.36389,1.38968,1.41459,1.4431,1.46664,1.49658,1.5469,1.58179,1.64627,1.81874,2.11752,2.26246,2.24972,2.32491,2.70086,2.41118,2.28077
Total Concentration(#/cm?),2303.13,4377,337386,633598,505211,362277,296092,235720,138830,63865.9,27571.6,11373.9,4486.44,2318.14,839.478,585.064,310.39,182.011,127.572,160.409,356.035,259.043
Comment,,,,,,,,,,,,,,,,,,,,,,
