Sample File	D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	13:07:00	13:12:03	13:17:04	13:22:04	13:27:04	13:32:04	13:37:04	13:42:04	13:47:04	13:52:04	13:57:04	14:02:04	14:07:04	14:12:04	14:17:04	14:22:04	14:27:04	14:32:04	14:37:04	14:42:04	14:47:04	14:52:04	14:57:04	15:02:04
Diameter Midpoint
 23.3	922.46	3497.72	3011.09	2268.84	975.022	620.486	619.583	798.807	34643.1	22178.9	12489.1	7179.77	4750.79	2059.91	998.034	707.057	863.143	492.963	152.042	375.998	486.43	1050.35	499.715	301.28
 24.1	1526.25	3244.47	2371.1	1855.22	1330.1	655.301	510.608	633.515	32279	20341.2	10727.8	5652.44	3049.84	1997.91	1056.02	801.144	757.664	263.23	343.168	451.932	805.109	493.473	275.6	226.357
 25.0	993.592	4088.71	1886.02	1243.25	1311.43	845.261	435.208	653.748	24678.7	17274.6	10250	5695.79	3500.79	1718.71	1234.17	655.556	266.895	74.799	158.606	274.97	429.306	460.003	439.229	324.782
 25.9	900.793	2992.95	2576.31	1215.87	1165.92	620.994	519.732	392.325	21085.4	14314.4	8691.85	4831.96	3450.25	1186.27	991.806	781.951	308.863	591.543	575.152	259.718	645.188	731.045	362.279	46.6432
 26.9	1021.28	3448.8	1965.29	1822.3	963.023	680.842	488.065	887.456	16272.3	13100.4	8779.04	5982.71	2018.82	1538.48	1126.48	541.823	335.59	571.811	445.524	546.967	415.147	390.892	438.479	381.008
 27.9	1102.31	2600.45	2919.03	1575.31	692.072	367.182	226.823	337.347	15064.1	11265.9	6460.75	3763.78	2370.53	1428.41	326.702	657.311	382.412	466.131	371.649	279.973	361.918	594.36	369.642	188.96
 28.9	1318.05	2140.96	1662.1	1766.79	1066.47	880.399	814.987	497.187	12243	9136.41	5337.51	3652.76	1953.21	1424.03	792.782	584.362	203.316	310.364	285.461	441.798	574.92	565.702	123.948	354.21
 30.0	1159.77	2655.45	1946.27	1047.33	791.619	781.672	267.12	563.549	11265.1	7506.34	4928.63	2630.99	1636.95	1161.27	799.188	241.113	260.939	234.806	363.361	294.54	515.216	368.289	314.468	247.34
 31.1	1055.59	1667.31	1424.78	1296.44	557.396	745.11	679.226	567.592	9305.36	6969.08	4186.88	2965.76	1821.31	1027.35	826.706	608.485	317.371	213.369	353.83	321.146	397.058	608.048	247.457	442.119
 32.2	1476.55	2274.63	1459.51	1279.9	760.061	803.511	653.087	692.847	8201.9	6389.64	3441.37	2268.75	1604.1	1122.69	647.79	344.427	471.332	107.16	302.888	232.314	505.295	416.548	109.072	265.455
 33.4	875.999	2244.23	1284.03	759.635	994.375	429.776	477.425	468.877	7522.92	4605.54	3183.63	1813.74	1344.67	729.608	576.016	364.935	359.361	220.227	138.61	222.205	551.47	322.52	254.163	485.501
 34.6	991.325	2376.87	1546.44	765.047	707.726	695.451	410.221	457.84	5741.88	4405.86	2818.26	1422.37	1217.51	1152.54	783.549	502.575	128.987	213.558	35.5186	423.728	638.406	386.747	458.528	349.071
 35.9	1186.89	1792.61	1039.79	1394.84	863.944	457.574	366.174	511.862	3886.42	3464.99	2077.74	1540.45	836.58	1077.02	433.439	436.226	439.701	158.356	327.77	104.716	613.69	306.79	197.68	342.746
 37.2	1384.83	1656.79	1077.13	670.322	578.815	415.49	278.458	700.593	4163.61	2509.2	2466.95	1203.42	1172.22	605.49	384.7	349.008	292.692	364.594	192.709	148.789	319.295	278.821	246.677	219.63
 38.5	1466.45	1729.05	1286.98	1003.54	721.484	749.318	484.961	501.76	3671.14	2359.88	1750.99	1252.24	974.065	552.757	556.64	365.061	118.294	368.884	214.062	179.887	555.79	334.534	461.201	279.281
 40.0	1114.31	1354.32	795.87	899.759	607.685	617.408	298.83	304.366	2652.48	2715.71	1660.88	1142.8	693.1	590.582	537.027	238.248	264.054	268.664	265.365	266.013	557.26	690.014	304.569	388.665
