Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,11:00:00,11:05:04,11:10:04,11:15:04,11:20:04,11:25:04,11:30:04,11:35:04,11:40:04,11:45:04,11:50:04,11:55:04,12:00:04,12:05:04,12:10:04,12:15:04,12:20:04,12:25:04,12:30:04,12:35:04,12:40:04,12:45:04,12:50:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,
23.3,935.52,6647.2,6332.02,4687.56,3580.61,1749.68,1505.53,1148.53,2629.2,1429.47,755.503,311.055,185.897,58.6209,309.921,185.056,122.89,3.23437,59.5516,374.663,191.213,62.9023,60.7696
24.1,933.461,5596.72,5336.56,3895.94,2704.88,3417.04,1304.77,1430.58,2812.4,1287.91,941.69,586.882,116.674,231.492,184.522,233.713,0,230.945,56.6462,290.894,233.174,232.12,174.535
25,649.188,4205.02,5751.71,3524.3,3035.27,1529.31,1328.58,1649.26,2418.62,942.245,540.725,220.664,278.005,164.622,224.725,275.088,109.91,223.903,54.4498,332.317,276.037,218.933,108.243
25.9,762.493,5140.37,5633.42,3245.21,2779.62,1944.4,1358.51,1113.83,3238.41,1302.95,469.182,100.635,157.754,211.141,404.607,314.139,156.649,121.944,103.349,423.114,314.268,211.051,263.533
26.9,1133.37,5376.73,4071.1,2873.72,2558.06,1907.82,1560.71,1428.68,2059.87,489.295,595.355,196.005,98.2336,197.92,281.025,299.369,94.9749,30.9646,149.688,96.6102,147.281,149.395,49.0575
27.9,703.984,4061.23,3982,2706.2,2088.69,1281.32,1092.1,1356.28,1795.45,954.582,324.531,233.86,190.406,137.616,154.248,188.03,41.4654,110.309,92.9874,230.206,135.872,232.328,94.0591
28.9,932.683,4498.04,3369.97,3146.74,1758.17,1918.47,1169.74,1845.62,1680.91,1218.36,446.255,97.7453,42.0633,224.832,316.052,179.429,364.002,210.75,131.587,327.701,129.583,130.261,225.334
30,1008.97,3432.68,3806.5,2301.81,1641.04,1234.41,770.96,2433.55,1159.8,1215.5,426.484,373.853,214.209,171.945,385.21,134.364,127.694,214.67,259.221,243.271,166.078,122.354,38.3367
31.1,621.395,3321.26,2843.85,2352.45,1642.22,1183.04,560.108,2191.14,2255.01,850.479,406.87,200.03,77.2674,117.033,282.751,73.566,206.379,80.8795,123.276,240.286,155.893,113.581,79.64
32.2,812.721,2967.34,2575.2,2154.26,1614.05,1251.36,778.05,2975.49,1868.92,1253.1,618.534,149.043,32.7294,232.202,302.334,308.894,195.591,115.383,79.2052,352.012,474.959,69.6297,38.4114
33.4,612.793,2683.08,2201.33,1971.02,1505.78,999.987,777.704,2773.9,1618.57,889.063,367.15,178.976,145.594,217.971,235.701,186.2,148.86,33.0796,171.652,141.597,148.229,0,109.596
34.6,471.154,2618.24,2441.13,1695.9,1034.58,962.176,888.316,2900.3,1528.8,1173.37,416.058,244.212,79.4366,246.76,172.117,142.024,69.4308,104.724,117.971,237.659,167.904,215.83,141.528
35.9,563.431,2669.3,1601.98,1717.92,767.551,921.848,600.327,2942.87,1324.65,727.662,451.303,164.22,121.383,163.554,193.509,238.586,99.4055,33.9905,68.2835,198.183,198.653,242.705,169.459
37.2,466.654,2067.37,2281.06,1068.35,806.869,846.696,584.737,2861.43,1092.02,661.8,414.643,223.977,88.548,85.8797,311.756,232.786,124.944,66.4452,128.429,152.03,229.435,94.645,132.609
38.5,633.371,1838.46,1673.77,1443.28,1190.23,861.026,532.469,2656.86,1390.71,629.587,498.465,246.635,119.13,177.986,254.383,193.334,221.62,127.829,94.7812,154.334,166.328,91.9065,59.0197
40,917.647,2046.6,1521.66,976.879,799.511,928.175,298.371,2494.1,1302.78,638.927,355.841,195.957,49.9039,202.928,169.139,127.673,208.929,27.2065,84.6439,318.166,251.642,243.139,56.6168
41.4,841.78,1547.15,1559.43,716.438,630.061,649.096,755.1,2610.18,1321.65,866.983,365.455,169.819,107.268,140.275,143.324,116.364,90.6079,115.697,181.504,159.126,224.622,203.239,111.8
42.9,772.878,1764.13,1712.62,1142.52,557.103,621.074,275.85,2677.21,1221.7,603.513,218.78,160.52,80.9138,35.2647,152.618,98.2071,78.8443,81.363,52.6069,150.038,191.191,195.885,134.496
44.5,977.639,1239.66,1281.16,1011.77,664.315,545.58,624.531,1880.57,1044.45,647.489,265.64,187.916,136.906,190.164,268.746,56.9239,42.1668,50.6893,51.2727,238.617,271.553,272.44,98.7356
46.1,388.839,1414.21,1154.28,871.675,521.591,372.2,328.813,1998.42,797.812,453.642,285.296,230.008,155.348,152.258,116.525,93.8005,98.9645,98.3315,0,170.551,128.913,207.49,19.7974
47.8,776.198,1011.44,1096.21,975.173,577.906,720.542,273.596,2328.85,1246.43,313.675,402.139,222.143,129.308,220.93,56.4895,221.787,72.0085,91.7614,97.8244,169.984,32.4847,250.428,95.2175
49.6,828.235,926.456,1066.85,653.615,625.79,515.913,343.316,1558.93,948.285,477.734,282.504,236.138,152.267,161.968,159.827,67.6239,70.3885,116.543,108.944,368.288,285.136,92.0051,83.4571
51.4,466.748,1021.79,809.087,556.933,426.4,452.584,318.193,1845.29,821.597,518.379,169.342,173.15,59.079,229.37,333.471,137.471,66.1265,17.0436,50.452,228.803,231.411,22.1173,121.734
53.3,734.251,672.169,724.248,663.34,428.642,282.372,343.77,1656.05,835.16,585.713,394.597,205.662,211.292,201.407,222.212,39.788,179.484,19.4441,90.8057,232.043,73.6723,117.377,20.2752
55.2,275.022,886.718,949.778,645.293,391.741,449.253,299.646,1679.88,550.548,414.217,318.591,151.064,145.252,218.514,178.482,108.404,88.8643,13.3544,35.2451,218.53,201.177,61.0255,90.6793
57.3,452.083,726.559,545.962,703.2,376.78,480.34,160.662,1351.88,760.362,368.77,190.571,234.437,149.462,255.498,281.07,205.095,36.5952,52.5788,31.4397,254.928,144.916,104.677,58.1463
59.4,579.18,682.966,927.893,531.877,453.565,356.121,251.234,1672.97,810.776,463.575,392.652,185.593,194.761,117.009,162.229,135.945,79.5878,53.9851,52.46,179.323,225.168,75.083,117.314
61.5,471.471,787.597,537.344,533.657,462.15,337.429,461.217,1383.9,652.009,512.716,158.84,232.512,91.128,132.154,222.714,94.6913,49.7712,59.3052,76.4173,400.655,136.744,112.66,77.1761
63.8,569.787,689.396,665.509,310.178,624.896,153.74,293.459,1421.62,589.964,387.32,160.445,43.4762,42.7616,191.07,60.2584,113.248,169.351,80.4587,42.5469,81.4437,151.049,52.2405,201.133
66.1,479.549,679.036,457.951,438.551,265.906,394.393,328.601,1489.1,640.124,351.108,148.42,150.829,22.884,111.62,210.567,95.7024,115.522,49.1142,62.2365,234.101,10.9231,127.703,57.9141
68.5,406.092,613.574,318.246,623.583,334.996,299.462,333.288,1190.96,397.677,334.461,120.735,138.015,144.062,102.232,168.764,169.635,73.3888,148.562,18.7022,147.2,142.256,63.1754,91.9411
71,274.758,523.153,596.417,296.773,241.621,222.27,271.734,1090.85,666.17,446.311,209.395,120.26,158.091,183.094,248.259,92.6116,49.8992,93.9399,117.789,104.424,2.28873,162.048,88.4879
73.7,387.745,716.425,382.068,261.465,157.016,181.747,144.396,882.485,444.13,184.344,197.097,73.7262,56.1981,104.914,79.0671,62.0711,55.6945,95.6961,72.7198,137.666,111.86,14.2391,100.989
76.4,532.13,589.727,502.484,346.834,161.687,231.071,159.412,1185.17,423.14,276.662,189.068,53.2939,21.6523,188.314,134.144,115.995,76.7322,36.5561,36.9142,89.1597,151.79,28.0512,58.8714
79.1,382.602,459.739,398.912,343.315,205.437,177.955,374.83,1099.08,378.9,346.086,132.742,110.655,130.544,69.7967,86.4018,28.1494,55.0974,35.5645,47.6146,123.487,126.552,21.0178,8.36282
82,319.799,712.793,451.644,374.939,215.562,183.279,165.865,1020.32,527.564,216.122,159.565,87.2477,125.015,147.569,112.977,88.167,82.4265,98.1195,109.238,113.806,96.9523,98.1757,32.2492
85.1,331.221,355.465,410.702,275.134,215.805,139.811,146.77,1139.4,519.918,233.846,208.459,133.037,9.00236,120.014,109.488,201.42,52.8339,117.332,93.293,143.966,107.982,49.4316,93.2216
88.2,437.045,546.963,401.141,455.547,412.239,224.595,160.065,810.763,480.355,309.256,196.986,81.8691,139.358,104.419,175.829,99.9012,66.6764,69.6153,94.7647,209.636,140.149,110.926,113.42
91.4,400.914,317.516,455.725,224.418,299.333,124.867,214.706,812.163,501.472,455.389,55.128,209.243,97.6782,320.666,194.37,266.154,111.774,24.4263,54.4023,146.813,84.3569,109.656,46.5415
94.7,375.115,300.152,451.846,313.671,413.154,185.723,277.551,756.686,363.142,405.9,154.781,92.8892,130.767,223.877,130.953,130.08,126.638,26.07,83.9323,144.889,112.467,54.8964,64.7812
98.2,355.633,406.348,469.379,348.789,286.403,200.53,116.485,713.843,535.224,253.876,297.484,81.0272,98.2891,179.178,266.515,220.755,31.6359,83.5128,34.1386,66.3038,184.56,106.115,14.4416
101.8,427.352,342.102,465.386,162.945,323.756,274.281,235.287,782.76,450.912,281.084,196.953,139.929,99.6312,287.059,140.468,47.5253,170.397,74.0576,130.865,211.477,223.282,95.6948,57.9667
