Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017
Start Time,9:53:28,9:58:31,10:03:31,10:08:31,10:13:31,10:18:31,10:23:31,10:28:31,10:33:31,10:38:31,10:43:31,10:48:32,10:53:32,10:58:32,11:03:31,11:08:32,11:13:32,11:18:31,11:23:32,11:28:32,11:33:32,11:38:32,11:43:32,11:48:32,11:53:32,11:58:32,12:03:32,12:08:32
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7732.07,8399.05,7163.61,7894.83,7227.68,6805.81,6971.46,6924.4,6740.05,6931.53,16253.4,9103.7,6791.88,7095.33,5865.55,5858.77,5073.38,4689.8,3389.13,4226.19,3233.45,2607.25,2909.12,1830.49,2116.55,2106.23,2333.65,1944.63
31.1,7136.63,7806.91,7624.49,7309.81,7397.83,6456.58,7462.06,6394.58,6299.39,6096.96,18458.1,8790.69,7451.01,5458.61,5891.66,3977.39,5022.46,4022.95,3879.68,4299.3,3295.55,2357.7,1965.55,2327.69,2179.42,2671.16,1581.91,1457.65
32.2,7176.68,8741.85,6756.74,7338.79,6751.52,6213.14,6719.68,5680.43,6627.24,5861.54,17026.3,8213.62,7650.58,6801.45,5226.34,5243.56,4468.02,3704.93,2887.49,3126.96,3074.43,2601.38,2354.36,2313.17,1889.75,1659.19,1965.17,1705.84
33.4,6654.64,6890.46,6222.14,6349.23,6174.17,6113.21,5805.12,7012.55,6008.02,6390.5,14422.9,7770.65,6620.75,4781.7,5602.28,4342.61,3673.83,3625.38,3636.26,2757.19,2672.91,2573.67,2250.55,1596.57,1799.59,1915.43,1392.09,1182.97
34.6,5856.5,6308.73,5535.59,5524.36,5150.93,5762.96,5993.91,6075.99,5113.02,6043.27,11978.8,7763.43,6960.54,5579.51,4763.48,4835,3819.73,3152.6,3486.76,2656.98,2843.55,2615.64,1945.52,2039.69,2147.11,1321.98,1499.52,1646.21
35.9,6000.33,6653.43,6757.58,5580.1,4756.61,5272.73,5639.92,5801.54,5731.43,4900.27,10723.5,7946.87,6091.73,5702.89,5419.84,4136.23,3777.41,3120.22,2878.9,2145.73,2285.06,2105.98,2218.84,1825.99,1290.3,1587.39,1373.73,1510.87
37.2,6173.85,5905.8,5363.73,5497.63,6586.93,5853.9,5754.05,5991.92,4843.17,5444.13,9373.18,7281.47,6766.37,4423.43,4488.33,4104.12,3567.8,3674.86,3093.77,2762.64,2725.28,1820.13,1599.88,1787.5,1777.04,1354.23,1754.27,1713.54
38.5,6294.72,4952.67,6060.63,5564.2,5029.29,5293.61,4468.07,5463.37,5456.27,5725.67,8220.47,7471.44,5688.38,5446.22,3840.74,3631.03,3335.78,3233.49,2884.88,2132.63,2233.66,2390.33,1517.83,1451.11,1021.3,1625.14,1158.92,1433.14
40,5347.13,5527.73,6251.23,5178.23,5396.95,5441.28,4754.09,5160.6,4780.28,4523.35,6863.96,6741.57,5722.65,4540.11,3560.22,4288.7,3703.71,2611.22,2827.54,2288.05,1611.51,2290.86,1464.65,1693.89,1342.99,1350.62,1534.34,1156.81
41.4,4245.36,4968.46,5042.77,4524.32,4834.22,5613.91,4387.85,3680.55,4234.87,4574.42,7197.26,5517.97,5626.93,4477.39,4374.26,3504.22,2831.87,2678.22,2509.69,1845.41,2110.15,1870.55,1799.57,1790.31,1576.52,1407.09,1112.36,1295.85
