Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low 1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,15:17:14,15:22:18,15:27:18,15:32:18,15:37:18,15:42:18,15:47:18,15:52:18,15:57:18,16:02:18,16:07:18,16:12:18,16:17:18,16:22:18,16:27:18,16:32:18,16:37:18,16:42:18,16:47:18,16:52:18,16:57:18,17:02:18
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
22.5,2061.21,6111.36,4854.76,5860.23,6791.38,5434.59,4052.26,5732.44,4298.41,3672.15,1680.3,1237.63,755.538,326.955,394.824,130.868,251.314,238.637,66.4819,65.1056,131.599,66.468
23.3,1954.57,7467.83,4520.03,4233.6,4111.11,4554.62,3789.55,4173.44,3671.42,1841.46,1471.46,879.041,509.154,311.672,498.453,291.801,61.4082,0,124.856,124.81,62.0489,248.967
24.1,1854.11,6849.58,3816.09,4349.31,3702.64,2965.42,2822.74,3119.09,2256.64,2177.88,1041.13,881.411,486.432,293.958,233.26,76.694,294.643,0,58.2862,57.5526,234.709,177.234
25,1832.19,5611.06,3870.81,3630.75,2652.45,2736.72,2307.07,2130.85,1835.07,1500.14,840.56,939.757,219.524,109.776,109.699,55.3479,111.253,56.0307,166.505,167.32,109.665,55.3108
25.9,1475.18,5187.88,4025.04,3803.77,3538.68,3602.85,2010.92,2641.8,1048.63,1466.48,677.337,269.69,484,262.897,157.903,158.292,0,57.9102,157.394,51.5871,213.098,0
26.9,1432.66,5409.74,3299.23,2683.54,2955.96,2326,2201.62,1763.29,2099.05,1471.84,590.191,597.203,298.956,148.546,104.018,49.0033,96.9372,143.255,100.434,0,0,100.365
27.9,1745.92,3761.5,3264.49,2968.71,2262.27,2116.71,1554.4,2149.73,1526.94,539.629,706.897,442.655,180.017,87.8308,226.57,94.7115,188.904,0,0,94.9539,0,92.9563
28.9,1326.1,3709.19,2378.37,2996.9,2321.1,2204.37,1617.93,1787.8,1525.72,609.864,644.689,558.566,306.184,85.7561,133.411,87.4083,89.3968,41.4384,137.296,0,0,43.4282
30,1433.09,3572.29,1920.52,2016.36,2042.32,2076.16,1211.87,1731.06,1432.75,797.244,543.9,599.594,278.547,89.4382,39.2918,256.78,83.6059,128.677,0,40.5843,169.2,82.72
31.1,1067.06,3263.35,3344.81,2470.69,2196.45,1388.86,1224.13,1545.52,961.057,1220.8,693.793,370.967,156.592,153.639,78.827,165.459,39.0291,38.144,0,124.523,0,39.0631
32.2,908.214,2552.26,2240.41,2216.08,1900.69,1153.24,1103.42,1198.86,790.583,729.826,604.358,234.707,266.694,314.475,235.243,118.616,115.214,118.414,0,77.5698,79.4511,0
33.4,1192.47,2544.94,2024.99,1567.97,1735.73,1222.41,1562.79,1610.64,1018.59,994.104,387.815,404.658,329.403,107.84,186.36,0,68.5647,35.0602,34.6852,36.331,36.0533,107.539
34.6,1358.9,3033.68,2512.46,1719.72,1371.24,1423.36,1154.07,1102.15,1054.17,865.292,573.153,212.516,317.979,65.5103,140.263,143.527,35.1168,68.0527,35.4538,70.233,72.9651,0
35.9,1027.27,1980.82,1713.59,1671.76,1919.05,1147.44,688.157,1073.63,981.768,891.365,385.429,523.7,198.195,93.6429,99.7863,27.7459,32.4075,0,66.9742,33.7764,103.76,31.6796
37.2,1292.5,2545.75,1126.12,1611.17,1606.55,978.47,793.967,1249.09,1032.77,955.948,555.685,107.71,27.0435,129.802,60.6875,56.8459,102.59,30.7116,93.415,63.7955,0,0
38.5,1069.58,2168.26,2112.64,1482.7,1178.19,1018.63,765.281,1349.91,1005.69,955.69,627.928,192.377,310.129,108.653,241.593,59.1485,153.318,126.951,29.2396,30.1179,28.6999,31.3749
40,869.559,2160.51,1508.81,1507.43,1271.12,1090.58,498.652,936.162,986.188,601.702,391.037,344.561,424.085,250.935,123.276,27.2306,90.1155,7.2432,87.7795,28.3877,26.5309,91.412
41.4,1349.79,1532.85,1013.93,1407.61,1041.79,1153.13,524.889,857.653,910.834,532.875,177.947,429.19,406.109,153.952,108.921,114.268,56.3999,129.252,0,28.6057,56.564,58.0552
42.9,1038.47,2125.03,1330.57,1203.42,989.063,788.412,920.044,1265.5,786.996,714.66,508.155,238.344,392.496,192.346,103.688,109.384,86.1688,34.2507,27.135,82.5649,122.526,111.842
44.5,1264.34,1778.32,1196.2,1064.39,968.603,716.08,763.534,1182.34,723.719,638.342,379.789,83.9099,207.488,70.9558,101.004,24.5926,55.3288,88.9175,105.98,0,64.0718,54.2373
46.1,994.987,1706.58,1334.34,921.093,978.921,887.4,870.392,718.193,763.02,618.143,459.208,82.8689,313.586,147.489,95.6451,20.8434,76.9953,24.7364,47.6749,52.5597,0,77.939
47.8,1084.26,1288.49,1228.58,1177.71,814.176,586.726,590.638,929.817,827.597,503.699,485.072,184.977,229.75,87.0366,65.575,41.6594,175.575,47.0143,75.1776,24.5283,48.1182,147.973
49.6,878.348,1214.72,1204.24,995.568,678.81,720.936,768.695,690.025,629.349,354.871,584.288,179.996,192.291,111.398,114.98,38.3405,21.199,97.7398,22.2918,66.618,0,44.1591
51.4,855.94,1080.52,1132.27,995.285,582.809,712.044,655.998,964.099,691.563,476.314,338.73,265.915,233.728,216.042,85.1215,94.4105,43.1223,65.9412,13.3053,3.53273,19.6949,48.9991
