Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\High1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Date	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17
Start Time	15:26:32	15:31:36	15:36:36	15:41:36	15:46:36	15:51:36	15:56:36	16:01:36	16:06:36	16:11:36	16:16:36	16:21:36	16:26:36	16:31:36	16:36:36	16:41:36	16:46:36	16:51:36	16:56:36	17:01:36	17:06:36	17:11:36	17:16:36	17:21:36	17:26:36	17:31:36
Diameter Midpoint
 21.7	1863.88	2397.01	2010.24	2148.1	2794.64	1946.23	1328.38	2921.59	2189.97	2120.7	1780.23	5854.62	2559.6	1900.88	348.062	294.592	139.268	69.0155	70.8189	212.038	141.764	0	0	70.2909	70.903	0
 22.5	2623.13	3304.21	2603.4	3092.56	3007.38	2544.02	2031.73	2259.22	2122.22	2269.56	2024.23	5450.29	2165.82	1512.28	459.886	317.707	132.269	65.1064	0	132.949	198.781	0	66.4819	0	66.4819	0
 23.3	9425.6	1777.33	2296.84	1684.24	2195.36	1891.45	1792.08	2270.55	1899.08	1524.4	1806	4616.67	2483.63	1467.75	365.424	312.533	182.452	187.574	62.0366	0	0	125.519	62.7663	62.7594	0	62.7593
 24.1	4690.34	1722.86	2184	2036.69	1605.38	2455.48	1981.82	2013.77	2130.78	1695.91	2134.37	4877.05	2174.43	1488.46	409.453	351.383	349.8	117.457	116.585	118.166	58.284	117.401	0	59.0666	0	0
 25.0	2114.16	1850.48	1628.08	2221.67	1781.54	1598.09	2162.7	1584.65	1795.7	1938.19	1910.97	3248.38	2291.25	703.135	325.661	443.452	276.976	55.9627	0	168.152	55.2745	0	55.2348	55.2571	0	55.9956
 25.9	1797.53	2014.5	2004.78	2058.03	1953.89	1633.47	1834.04	2012.41	1570.38	1687.39	1735.8	4215.87	1997.51	894.509	527.642	315.484	157.943	157.277	53.1904	105.719	0	0	52.4429	0	0	0
 26.9	2088.06	1972.28	1715.44	1825.28	2059.69	1501.47	1211.31	1384.7	1539.14	1553.7	2015.88	3722.63	1445.08	791.38	503.72	351.579	0	202.783	0	0	0	49.8644	152.125	0	50.7317	0
 27.9	1915.78	2045.02	1819.43	1730.26	1864.33	2010.14	1626.5	1849	1285.59	1208.36	1505.15	3083.05	1490.32	857.807	522.541	236.799	185.053	46.0285	46.0358	93.8478	191.716	47.9517	47.0518	0	47.8612	0
 28.9	2044.51	1376.15	1519.29	1903.41	1465.07	1630.54	1073.22	1201.88	1491.33	1987.28	1437.97	2790.2	1684.72	892.205	369.679	224.527	0	227.859	44.8348	0	182.298	45.5541	45.6834	0	0	0
 30.0	1402.86	1620.67	1585.72	1739.77	1449.05	1381.12	1350.46	1232.05	1369.38	1316.35	1269.38	2978.79	1638.81	641.877	634.024	208.296	84.781	127.541	171.964	129.223	86.9056	40.9703	0	0	0	41.8287
 31.1	1665.9	1744.71	1244.73	1226.26	1341.82	1411.24	1587.61	1052.42	1377.47	1157.61	1006.59	3190.24	1259.24	872.931	406.567	157.487	165.233	120.797	0	40.248	0	38.5042	0	40.516	0	0
 32.2	1546.79	1559.64	1758.32	1319.63	1459.5	1552.67	1668	992.286	1220.79	1123.18	1607.83	2632.87	1311.88	960.768	311.121	117.899	37.0322	77.6047	37.6075	0	38.7236	79.6799	0	38.9278	0	39.7071
 33.4	6231.56	1210.26	1291.85	1215.68	1022.59	1205.15	1427.26	1249.14	983.947	719.538	1137.48	2629.73	1359.86	843.952	402.585	65.4803	299.342	36.4755	37.0601	0	75.119	0	0	0	0	0
 34.6	2453.37	911.468	1448.08	1463.17	978.295	1324.91	766.901	668.844	1174.88	932.312	1012.71	2792.9	1064.37	408.83	324.021	139.873	214.846	32.9157	72.6186	0	36.3184	35.4877	0	0	0	0
 35.9	942.478	1061.84	976.992	1533.35	797.397	1074.92	1346.69	874.568	1029.37	976.397	838.082	2729.8	1369.04	1066.94	443.932	206.165	137.796	0	32.5516	0	33.2107	0	33.531	33.9432	0	0
 37.2	1639.46	820.84	983.143	800.969	1325.47	687.553	1125.32	871.65	1076.07	836.47	914.174	2388.66	1269.87	396.872	194.419	156.206	66.6689	99.7334	0	31.057	0	33.3569	32.5739	0	31.4541	66.3102
 38.5	839.365	1151.53	1086.75	995.898	1079.93	1298.63	1157.06	1175.01	678.908	1088.82	737.49	2209.92	992.27	678.853	116.208	118.666	118.656	0	59.9728	31.0344	31.2246	30.8248	0	30.7357	0	0
 40.0	823.59	731.512	1035.76	836.323	1188.57	1367.34	1111.96	707.627	965.866	966.716	966.729	1701.17	1064.02	520.262	138.667	86.378	220.864	60.8188	60.8149	61.6647	0	0	29.8138	0	0	30.2627
 41.4	814.793	1274.63	1086.38	866.401	603.679	1149.24	723.164	642.631	890.171	746.653	756.001	1651.05	895.478	327.299	229.185	108.74	26.9678	27.006	24.8101	60.0167	28.1343	0	0	26.4965	27.943	29.7976
 42.9	721.165	993.025	719.45	931.022	1002.18	988.44	690.615	682.214	714.654	983.609	832.989	1903.26	849.728	527.082	162.588	219.529	57.18	65.1643	37.0953	28.3868	0	58.0982	28.0686	27.6726	0	29.0491
 44.5	1089.61	1020.55	979.024	1262.69	807.144	937.165	939.009	792.645	619.311	883.756	729.72	1395.93	840.811	218.876	231.615	242.479	24.9598	99.9787	101.04	26.8962	0	83.9035	0	25.1351	0	111.176
 46.1	952.204	641.067	510.248	735.193	1174.62	733.745	1043.53	964.563	891.149	664.267	584.979	1604.01	898.757	417.14	157.923	0	51.179	52.6345	53.3322	54.246	25.2017	0	23.3281	25.3815	0	0
 47.8	5707.33	900.807	731.288	518.403	610.517	766.325	933.168	742.103	591.463	655.014	394.64	1853.61	661.27	510.626	239.473	218.315	99.6075	20.19	24.0336	25.2529	24.1722	21.9508	0	0	0	26.1661
 49.6	886.195	629.008	925.984	793.588	836.091	665.742	726.632	888.172	821.025	649.477	501.921	1614.31	991.603	400.028	160.721	143.253	95.1633	70.0907	0	20.4394	0	25.4182	24.3259	0	0	50.8364
 51.4	832.979	976.545	932.196	1003.22	518.982	676.74	826.164	967.529	554.289	653.102	554.561	1349.88	925.344	419.952	202.092	18.7331	47.3374	46.4238	46.5152	0	22.554	0	23.6741	22.8016	23.1033	0
 53.3	652.054	837.251	644.866	558.716	632.425	576.946	969.058	784.761	543.218	691.61	724.614	1307.54	667.4	315.415	108.546	189.892	0	21.879	19.2734	48.0766	48.0766	0	24.0383	0	47.1933	24.0383
 55.2	856.642	856.481	916.873	766.867	680.68	591.316	705.473	490.583	525.304	563.477	711.867	1566.94	735.187	334.91	148.886	178.309	43.5249	22.6128	93.7095	19.1927	22.1219	20.5465	0	22.6187	0	0
 57.3	735.391	590.85	786.805	590.602	814.532	454.068	488.458	556.801	526.713	392.669	509.795	1435.55	430.516	332.225	262.009	80.2379	62.4273	21.7497	0	15.5782	0	22.1349	19.6967	21.4587	63.6776	16.8178
 59.4	776.321	779.147	427.06	715.204	731.125	537.067	767.768	516.474	479.093	533.378	665.617	1102.08	586.037	202.137	153.691	124.419	57.1395	20.6517	65.2033	0	0	40.8277	15.7277	65.996	26.8103	3.96019
 61.5	479.8	691.921	679.812	663.763	504.751	838.873	2114.57	588.866	755.139	630.013	518.848	1212.32	576.233	276.436	91.7336	158.568	0	64.5897	58.6553	0	63.5938	0	17.9523	0	21.6722	0
 63.8	231.195	651.878	811.45	482.035	545.656	628.362	1468.2	423.718	639.852	445.248	625.725	906.55	527.798	362.368	195.844	122.922	26.8545	19.1841	0	19.369	21.1505	0	0	40.2579	0	0
 66.1	415.799	615.14	571.801	522.185	477.161	635.049	529.04	599.946	581.812	528.557	775.562	944.263	657.44	186.347	96.4417	61.9593	38.81	0	0	0	19.157	0	20.6531	15.4318	20.0851	17.7211
 68.5	622.187	775.735	958.974	726.153	661.098	594.754	590.742	295.744	851.129	486.456	806.587	1044.72	516.42	259.479	199.524	133.745	19.7738	35.7659	20.282	0	18.802	75.1346	58.5246	19.4477	0	0
 71.0	506.021	691.582	451.831	549.076	354.646	653.559	409.32	579.002	504.179	471.674	445.883	1055.75	463.422	417.608	134.085	108.371	77.0085	77.4369	19.4025	17.8151	18.3186	0	0	36.941	0	0
 73.7	392.629	559.517	440.264	489.483	525.314	595.764	559.38	288.72	446.318	613.491	406.65	1180.51	516.24	197.08	166.09	54.5732	37.6182	31.2877	9.52726	68.1946	38.9468	0	18.7112	16.046	29.0237	0
 76.4	403.372	385.507	517.889	715.721	555.997	475.539	401.516	324.325	391.517	444.614	365.828	751.681	573.814	138.829	167.204	44.5143	0	19.0344	35.798	0	0	12.3466	0	15.3606	0	0
 79.1	554.043	477.497	504.678	487.86	384.99	617.036	640.382	482	227.081	355.067	330.156	1054.05	324.892	242.049	34.369	0	8.60048	15.0213	0	0	0	0	0	14.908	11.7702	0
 82.0	386.271	302.522	402.412	561.308	289.949	484.448	425.252	298.99	290.746	346.293	444.769	746.06	270.993	319.347	156.279	106.019	33.6654	0	31.4915	50.1368	15.2386	0	12.4655	0	0	0
 85.1	649.355	301.633	396.232	479.177	453.534	393.602	405.38	363.886	303.724	437.138	218.659	911.119	367.384	125.405	39.4774	59.8432	45.351	11.0928	0	49.9549	0	36.4996	26.2562	14.1793	0	13.4553
 88.2	743.257	413.963	374.728	590.825	240.365	342.716	300.374	427.576	379.144	376.004	465.688	917.473	390.294	178.175	0	57.858	70.174	9.95084	13.8197	33.1639	33.1639	18.0546	49.9289	0	0	0
 91.4	1427.91	552.201	416.491	541.9	479.219	502.464	469.826	570.115	579.197	561.775	230.85	618.905	553.682	232.415	25.5563	104.615	56.0145	0	48.9526	0	0	0	13.3899	0	0	14.5214
 94.7	1857.56	523.712	466.025	254.556	479.307	436.143	224.879	364.09	478.462	423.66	364.529	608.353	437.101	12.4862	52.1306	0	41.6424	15.0172	24.6278	13.6054	0	0	0	15.6028	17.6002	12.4342
 98.2	504.992	416.347	309.211	343.276	388.933	383.012	314.82	356.351	489.883	549.91	350.757	992.672	206.712	277.923	35.34	0	7.92067	10.2346	0	10.2831	10.2831	34.7895	0	32.427	0	17.3947
101.8	515.035	487.682	351.77	339.675	425.507	260.09	295.886	491.354	265.041	394.521	150.369	450.119	412.475	241.018	22.4062	51.0901	9.47565	28.1531	0	9.47565	15.131	31.652	14.4122	0	0	17.2398
105.5	315.535	419.927	474.107	346.759	355.729	544.382	281.513	414.688	348.259	293.175	287.871	698.121	345.889	278.051	116.999	49.6817	0	0	0	10.1345	0	0	15.2608	15.2608	0	30.8815
109.4	527.719	369.156	369.613	612.467	406.042	490.877	433.41	613.135	278.947	372.125	505.818	618.393	387.625	228.24	117.164	95.6163	0	33.8873	47.8082	49.3196	0	16.9437	0	16.9437	50.831	0
113.4	684.492	506.393	601.819	367.133	442.229	563.744	649.867	430.431	506.393	474.358	468.412	637.209	308.916	286.956	70.8749	50.6393	16.8798	0	0	16.8798	0	33.7595	33.7595	0	33.7595	0
117.6	442.783	485.491	460.346	442.783	504.765	404.318	472.105	534.003	543.312	282.887	543.229	863.842	567.485	236.908	184.152	33.4821	33.4821	0	16.7411	16.7411	0	0	0	33.4821	33.4821	33.4821
121.9	453.717	477.1	624.72	460.417	364.496	464.593	412.02	483.799	479.511	367.02	453.717	621.304	510.465	147.621	66.7309	83.4137	100.096	66.7309	26.6659	16.6827	16.6827	0	16.6827	0	16.6827	16.6827
126.3	523.259	570.148	339.215	370.626	543.159	399.045	578.255	448.926	478.907	426.77	408.714	723.194	387.252	247.56	116.388	49.8806	16.6269	33.2537	6.67715	16.6269	0	0	49.8806	16.6269	16.6269	16.6269
131.0	602.828	731.741	547.597	433.082	336.978	480.627	434.581	547.259	630.126	452.991	352.052	682.021	416.171	151.674	116.013	66.2934	33.1467	16.5734	16.5734	16.5734	16.5734	0	16.5734	16.5734	0	16.5734
135.8	527.672	593.76	511.33	544.711	395.99	380.008	412.512	462.281	494.965	561.391	561.053	973.408	379.828	147.664	82.4305	33.0441	33.0441	66.0883	16.5221	0	0	0	16.5221	0	0	0
140.7	546.483	543.048	410.474	589.079	407.399	327.548	397.721	430.279	294.81	423.768	314.795	937.153	311.179	278.261	142.252	145.507	33.0984	16.5492	16.5492	0	0	0	16.5492	0	0	33.0984
145.9	487.868	500.8	441.573	321.877	471.084	484.221	414.465	494.956	342.102	345.544	364.729	823.921	382.347	266.297	113.443	36.5989	49.7358	0	66.3144	33.1572	33.1572	0	49.7358	16.5786	0	0
151.2	599.298	560.337	555.053	429.858	297.594	529.056	505.385	447.002	290.525	338.339	508.954	1031.55	480.068	184.258	125.195	115.731	16.533	49.599	16.533	16.533	16.533	0	0	0	0	0
156.8	469.221	465.645	453.373	433.765	420.24	466.898	519.348	382.813	387.108	501.818	404.209	919.552	355.763	198.796	165.663	49.6989	33.1326	0	0	33.1326	0	16.5663	16.5663	16.5663	0	0
162.5	531.588	465.14	442.428	511.926	563.697	339.16	616.012	299.018	525.489	583.358	566.746	819.251	375.98	116.285	182.733	66.4485	99.6728	0	33.2243	16.6121	16.6121	0	0	0	0	16.6121
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553	25.553
High Voltage	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78	9911.78
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482	165.482
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																										
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
