Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017
Start Time,14:25:00,14:30:03,14:35:03,14:40:03,14:45:03,14:50:03,14:55:03,15:00:03,15:05:03,15:10:03,15:15:03,15:20:03,15:25:03,15:30:03,15:35:03,15:40:04,15:45:04,15:50:03,15:55:03,16:00:03,16:05:04,16:10:04,16:15:04,16:20:04,16:25:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
57.3,622.849,1092.66,1023.09,974.455,787.627,1048.51,923.897,1173.08,904.552,840.912,766.973,450.994,371.553,166.264,9.2453,2.32461,21.1655,44.0331,18.4505,0,20.8713,0,0,0,0
59.4,596.214,971.152,921.504,1076.8,660.703,829.349,967.218,771.81,831.22,908.348,587.233,377.491,282.432,73.5095,0,19.9136,66.0158,0,0,0,1.38578,22.0053,0,42.3178,0
61.5,649.834,1083.04,1198.87,1046.78,1035.1,1185.12,839.844,738.044,735.647,707.287,1185.39,351.841,275.704,142.702,47.8949,62.1143,42.9256,41.1529,21.4628,0,19.2857,0,0,0,0
63.8,294.329,1022.98,1109.04,725.291,822.556,831.672,1098.9,977.038,732.957,732.278,893.149,302.782,223.12,273.702,69.7353,8.60124,0,16.5749,19.1913,20.3374,18.6638,41.8922,41.8922,0,0
66.1,544.784,757.213,993.828,1061.98,736.373,716.351,596.137,839.547,876.285,774.777,727.282,443.263,268.616,173.708,0,36.5773,0,17.3091,37.3231,0,0,0,40.907,16.8223,0
68.5,503.363,717.301,752.361,590.916,744.333,671.918,661.84,531.516,860.044,395.321,717.396,522.322,371.912,85.5348,48.935,46.6172,18.5745,16.9529,19.6428,19.7036,37.422,0,18.4598,19.6428,0
71,417.116,744.179,917.886,963.004,497.749,515.726,766.908,820.438,928.644,676.936,721.355,293.122,241.919,132.783,9.79838,25.7101,30.3923,0,0,17.2721,16.3236,0,0,39.2669,33.5796
73.7,343.956,665.517,797.189,739.199,612.506,404.964,958.177,699.921,520.252,640.145,724.428,506.941,324.826,149.101,108.53,49.9745,0,14.9316,0,0,38.4414,18.1342,18.548,19.297,14.86
76.4,596.179,990.129,616.685,740.152,534.378,699.634,628.09,634.268,425.911,664.953,703.728,71.3071,155.652,34.973,56.3304,8.5057,0,0,15.3748,0,0,18.1909,0,0,0
79.1,526.55,890.243,613.301,632.085,542.179,427.138,769.847,498.135,727.897,568.655,842.976,197.727,76.9747,171.796,39.1623,32.4839,0,12.036,15.3854,0,0,0,14.0678,0,0
82,384.736,647.356,809.086,510.179,807.545,624.051,590.802,705.665,525.629,395.557,643.408,403.685,130.147,40.8428,101.114,9.85644,28.1891,11.5601,16.1691,0,0,0,0,0,14.4495
85.1,374.773,882.282,819.507,532.65,643.029,763.187,463.732,516.321,464.044,615.825,862.143,312.811,60.6489,130.412,87.747,10.9857,0,5.72069,35.1724,0,18.0734,0,0,36.1469,0
88.2,480.968,686.156,700.937,486.677,581.973,600.3,659.843,632.618,488.569,521.41,602.305,244.764,216.327,79.7356,28.1752,14.9633,0,12.409,0,0,0,0,33.206,0,17.8802
91.4,303.607,560.975,578.234,578.293,640.122,512.496,648.013,430.273,501.775,425.48,472.496,444.967,131.49,34.939,111.234,33.6048,0,10.5258,0,15.9953,0,0,0,0,0
94.7,534.065,635.992,578.875,643.495,413.422,632.656,520.062,376.893,649.943,465.287,662.738,237.795,177.409,143.128,74.9676,67.1625,17.4301,30.3241,17.4301,0,17.4301,0,0,34.8603,43.2181
98.2,445.439,671.068,441.914,546.365,409.975,555.774,665.001,570.135,267.76,444.079,705.416,404.539,223.122,36.0164,45.3181,14.863,0,14.887,17.2266,14.863,0,0,0,17.2266,0
101.8,83.8483,642.844,783.15,468.392,554.232,603.055,579.89,334.894,372.93,486.508,530.984,255.895,149.419,86.7206,63.0576,29.2577,9.38408,17.0732,0,0,17.0732,0,10.0959,0,0
