Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17
Start Time	17:40:40	17:45:44	17:50:44	17:55:44	18:00:44	18:05:44	18:10:44	18:15:44	18:20:44	18:25:44	18:30:44	18:35:44	18:40:44	18:45:44	18:50:44	18:55:44	19:00:44	19:05:44	19:10:44	19:15:44	19:20:44	19:25:44	19:30:44	19:35:44	19:40:44	19:45:44	19:50:44
Diameter Midpoint
 38.5	30.9558	30.2326	122.832	150.988	207.921	219.159	305.261	372.175	303.695	241.549	335.556	299.133	1198.37	798.809	172.24	312.254	181.592	254.822	90.9382	154.358	89.2414	0	31.1507	93.9648	0	62.6468	28.2454
 40.0	30.4412	148.334	86.1298	299.894	87.8603	300.925	147.029	262.369	417.056	173.283	326.451	332.718	1152.9	677.074	433.44	229.172	177.737	147.861	117.577	57.2961	55.4194	61.8701	28.8481	59.1023	29.8579	0	90.0412
 41.4	27.4416	145.251	83.7002	227.696	160.119	79.3892	198.776	310.134	342.315	364.886	228.213	286.938	992.829	683.941	443.422	221.873	233.909	113.48	30.7461	53.5431	51.8698	0	0	28.834	0	58.4058	85.266
 42.9	112.208	26.3982	110.168	233.104	172.89	243.404	335.183	245.914	154.901	221.715	299.093	518.021	962.936	588.212	450.862	304.256	78.8378	109.546	82.3707	20.9912	51.4414	0	27.4507	0	56.5204	25.6683	27.3727
 44.5	0	21.5019	78.2637	116.733	22.1761	89.8504	319.331	150.589	318.671	203.795	146.52	253.878	770.401	420.955	297.652	298.651	127.762	78.7891	106.265	0	54.6252	24.0299	0	108.445	26.9864	0	0
 46.1	24.3545	42.326	97.5179	148.095	127.759	186.795	177.057	228.702	113.352	169.584	271.53	43.393	873.269	279.792	305.999	248.711	65.5617	129.701	100.692	23.8582	23.2869	51.5549	51.516	78.4118	24.1575	75.6195	74.8465
 47.8	49.7291	0	26.1949	253.996	142.687	49.3061	91.3189	167.505	142.384	269.358	271.22	294.172	845.16	363.6	570.491	167.335	131.791	101.286	46.0254	49.9104	70.3582	25.2634	0	24.2304	49.7262	23.8403	22.9954
 49.6	0	20.0518	116.425	115.698	239.894	152.172	0	166.092	242.854	257.55	174.267	254.566	760.673	447.575	232.132	142.804	329.664	124.882	67.0602	0	19.9756	125.153	24.1766	46.7209	23.3391	22.3434	47.6054
 51.4	0	69.0215	103.817	99.1562	185.527	183.048	120.446	164.695	161.232	193.926	120.197	96.9166	1022.39	555.811	292.021	160.614	149.542	94.7134	121.259	21.5999	19.5908	96.9345	46.5905	96.1913	20.4873	0	70.8152
 53.3	43.1688	17.0575	87.2143	142.726	178.511	213.534	221.221	160.422	145.667	194.113	163.5	169.509	925.566	396.469	270.743	172.828	141.907	86.905	81.2174	86.9917	0	70.6424	17.205	22.5988	20.8729	45.6926	68.6282
 55.2	21.2509	19.1435	66.254	128.731	217.75	108.27	164.774	160.354	189.555	220.097	165.213	284.117	581.768	266.744	239.397	75.3081	156.132	41.2114	96.4262	85.9423	64.5623	43.5931	0	22.3307	19.3241	19.323	66.0324
 57.3	0	38.3163	89.2263	123.237	26.396	76.6184	89.7725	186.501	201.866	165.969	168.516	96.8567	641.875	282.742	364.935	192.971	125.268	63.4058	13.5655	66.5111	43.4187	0	40.1842	45.1506	20.739	19.6641	21.6569
 59.4	19.4089	83.6003	80.2314	120.124	140.471	95.07	117.266	249.997	138.458	145.719	112.342	99.7144	540.597	513.906	369.806	238.248	53.7265	58.6965	39.6998	44.0105	85.2202	0	0	16.6205	0	0	64.4255
 61.5	42.2133	34.9115	40.2309	124.168	95.0334	159.721	102.235	117.59	235.428	196.217	193.167	167.628	505.783	283.809	224.446	180.959	33.2215	77.0316	38.4516	120.519	102.888	16.2806	0	0	18.6076	34.9854	15.6398
 63.8	16.3814	13.5528	79.2127	118.887	64.1271	198.526	130.258	192.406	141.866	157.281	199.12	130.368	667.809	416.063	141.443	67.6231	165.328	38.6021	53.6474	34.9367	13.9148	38.8918	38.5394	14.9479	0	34.7806	15.8356
 66.1	14.6599	138.847	11.3775	48.119	50.3145	253.828	148.707	126.221	149.16	231.6	220.508	66.1675	629.618	346.576	327.453	174.148	156.229	55.2691	39.7039	26.1089	0	38.6467	39.3413	38.7185	18.1329	58.8282	60.513
 68.5	37.3838	80.138	77.6381	101.711	82.6683	179.124	58.3991	132.467	279.404	121.11	256.931	146.901	700.464	384.347	257.375	126.996	41.0469	33.3927	100.43	34.1532	79.3228	0	0	0	37.4362	36.9477	52.0078
 71.0	0	58.539	18.4932	97.8418	159.071	132.88	176.698	125.947	120.462	173.479	159.313	166.71	275.101	348.725	216.036	135.254	82.4766	9.63317	3.2502	0	57.1818	12.6771	17.7819	32.8293	0	0	0
 73.7	18.9592	31.5515	67.1042	80.2539	50.054	138.559	79.2274	52.4349	245.091	88.1588	165.913	222.59	644.143	400.051	128.354	11.223	11.2587	7.5531	64.9326	19.0197	34.1591	0	0	30.5834	31.4084	48.4655	46.9332
 76.4	31.2007	39.8345	6.46916	86.1313	112.502	76.06	48.8082	141.811	99.028	106.015	262.716	197.542	367.454	206.47	286.1	151.53	81.0344	41.4551	28.0464	27.3829	45.0186	14.3017	35.4145	0	33.8116	0	0
 79.1	36.6653	61.1489	27.9505	108.245	77.7802	135.598	115.023	87.2598	133.851	117.684	169.279	0	377.739	277.761	173.162	125.313	134.781	80.906	30.1039	89.92	48.9695	0	62.3775	16.0876	14.6538	25.5786	37.1784
 82.0	0	9.80151	21.4916	55.2622	118.148	124.441	173.816	86.3426	142.907	65.2446	87.5339	46.8982	248.622	237.734	148.207	128.858	106.927	10.6383	55.3898	24.2891	28.5057	32.8414	67.0688	0	36.7161	29.9002	18.3623
 85.1	18.0734	67.2882	0	100.245	136.247	79.115	152.849	134.592	177.551	122.357	122.632	145.036	484.62	227.211	162.13	39.899	51.2969	40.178	66.1804	0	5.00559	0	17.099	0	0	15.0168	0
 88.2	16.603	12.0464	73.9019	68.4307	110.526	106.745	72.177	70.5852	68.9177	23.0217	153.491	33.3955	312.339	55.1477	177.381	18.424	93.8008	51.5896	11.4944	0	22.8157	31.5663	11.1318	51.0861	33.206	29.4838	15.0878
 91.4	0	63.6229	15.7153	33.9539	27.0242	82.5667	198.957	69.2384	162.667	167.611	107.762	204.551	311.21	285.051	216.375	96.8755	48.1996	56.0617	53.5359	70.0797	29.2559	32.4843	6.17685	8.9116	12.14	38.1721	43.9217
 94.7	34.8603	37.9733	12.9978	28.6627	146.298	46.1966	67.159	114.16	153.047	12.5079	207.625	64.691	412.319	418.895	136.645	95.2709	3.10721	8.83468	37.2838	32.7534	45.1962	13.4739	23.8099	43.2181	15.452	43.2181	26.2648
 98.2	32.0896	0	59.5	81.1159	39.9337	69.1578	87.6635	87.6657	40.6388	92.3709	125.33	93.1961	455.227	153.405	87.6001	25.8239	50.1656	39.9097	0	94.4485	0	12.5474	5.48047	5.45644	12.5234	7.82009	0
101.8	12.1844	20.1918	7.29559	103.788	103.891	123.899	122.238	108.148	166.888	106.257	77.6236	195.407	230.325	192.824	152.857	99.2603	111.255	35.7131	0	22.2803	6.34029	34.1465	47.0427	22.2803	14.9847	18.7682	51.2197
105.5	15.1133	0	0	92.4911	191.503	118.075	90.68	143.264	155.48	106.665	249.06	174.446	600.799	246.692	212.05	101.085	69.5902	44.7967	82.811	13.3023	7.14555	33.8488	0	30.2267	33.8488	17.0075	0
109.4	0	26.3785	33.5599	67.1197	67.1197	151.019	67.1197	160.618	93.4982	117.459	153.353	177.314	496.217	239.503	184.579	117.459	117.459	50.3398	50.3398	0	16.7799	16.7799	16.7799	33.5599	33.5599	43.075	50.3398
113.4	33.4333	74.0208	50.1499	109.719	133.733	150.45	117.016	107.454	157.604	193.302	191.037	100.3	491.937	260.025	159.869	66.8665	143.152	66.8665	33.4333	50.1499	66.8665	16.7166	0	16.7166	16.7166	16.7166	16.7166
117.6	0	49.7378	33.1586	73.555	149.214	116.055	116.055	182.372	99.4757	246.041	132.634	248.689	411.288	203.541	106.714	132.634	139.872	49.7378	16.5793	0	16.5793	16.5793	49.7378	0	16.5793	49.7378	0
121.9	0	33.043	49.5646	49.5646	115.651	181.737	133.648	82.6076	150.17	208.11	82.6076	132.172	333.613	259.151	199.734	82.6076	66.0861	16.5215	82.6076	49.5646	16.5215	16.5215	33.043	16.5215	0	16.5215	0
126.3	0	16.4662	98.7972	115.263	65.8648	131.73	64.3937	98.7972	196.123	82.331	65.8648	115.263	431.978	344.319	146.725	125.425	65.8648	49.3986	32.9324	32.9324	49.3986	16.4662	0	32.9324	0	16.4662	0
131.0	0	32.8264	65.6528	82.066	147.719	82.066	98.2138	163.867	49.2396	229.785	163.867	49.2396	340.832	180.28	180.545	153.472	147.719	82.066	0	0	65.6528	16.4132	16.4132	0	0	0	0
135.8	16.3624	0	49.0872	81.8121	68.4998	49.0872	65.7142	16.627	150.312	98.1745	180.251	147.262	330.298	245.701	133.949	101.754	65.4496	68.4998	81.8121	0	16.3624	16.3624	49.0872	32.7248	32.7248	0	35.7749
140.7	0	69.1948	114.725	52.8055	29.7234	151.141	98.3356	131.114	144.448	98.3356	114.725	81.9463	423.066	233.087	78.8912	95.2804	114.725	29.7234	32.7785	3.63776	32.7785	0	32.7785	32.7785	0	32.7785	29.7234
145.9	0	29.1925	32.8368	127.703	49.2552	144.121	114.929	116.369	65.6735	82.0919	229.857	180.602	446.178	227.654	65.6735	98.5103	114.929	32.8368	82.0919	12.7742	16.4184	32.8368	49.2552	32.8368	16.4184	32.8368	32.8368
151.2	16.3732	65.4929	32.7464	147.359	32.7464	94.657	114.613	113.176	130.986	94.657	98.2393	111.03	451.995	244.162	130.986	81.8661	16.3732	49.1197	32.7464	49.1197	16.3732	0	32.7464	49.1197	16.3732	32.7464	0
156.8	16.4062	32.8124	32.8124	82.0311	82.0311	3.58954	98.4373	82.0311	124.687	106.949	86.9529	172.574	467.885	218.203	49.2186	157.5	136.172	54.1405	16.4062	32.8124	65.6249	0	0	32.8124	0	65.6249	0
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
