Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
 19.5	285.527	442.749	253.246	253.246	695.995	675.324	527.165	928.57	442.749	623.189	928.57	949.242	792.02	4760.36	2565.56	1012.99	928.57	960.851	253.246	337.662	0	253.246	84.4155	0	84.4155	84.4155	84.4155	0	0	0
 20.2	445.268	0	237.789	317.052	712.14	396.316	1347.47	475.579	475.579	840.356	951.157	634.105	603.794	4107.56	2445.49	1345.02	1030.42	603.794	396.316	634.105	0	79.2631	79.2631	79.2631	79.2631	79.2631	0	79.2631	79.2631	158.526
 20.9	296.395	222.655	372.04	220.755	667.869	1186.95	857.057	929.279	589.272	665.133	888.255	665.064	518.322	4521.03	2444.75	1076.51	589.31	562.035	145.914	0	222.417	74.1576	73.9759	0	147.902	148.713	74.5172	149.034	0	74.0002
 21.7	70.1559	278.166	139.242	139.159	845.454	555.983	373.516	1014.63	694.449	557.857	487.636	693.591	486.638	3745.23	2023.78	1147.78	980.796	588.169	350.185	139.531	70.1759	139.197	0	0	0	140.183	68.9869	70.2179	70.2179	140.417
 22.5	61.8567	369.902	129.709	259.351	776.884	521.902	718.978	486.923	691.571	323.171	719.551	457.879	519.796	3602.77	1556.62	1041.38	841.847	258.437	129.076	63.1507	65.8394	0	65.1935	0	0	0	0	0	65.1771	65.8394
 23.3	182.086	270.298	60.7379	184.414	495.182	493.101	428.63	761.626	576.724	557.369	548.576	738.658	492.176	3255.5	1902.92	1176.11	492.219	307.13	186.453	121.427	61.4243	124.313	61.4593	61.4243	61.4532	0	62.1389	0	61.4223	61.4295
 24.1	56.9734	403.435	290.296	173.268	495.683	461.169	581.078	638.329	404.63	926.194	461.007	375.846	628.262	4209.21	2084.07	746.123	341.858	227.682	347.127	114.574	116.233	0	175.537	58.4958	58.4786	0	0	0	58.4953	57.7282
 25.0	51.4036	51.3627	273.39	163.702	514.792	383.699	490.93	377.003	710.548	489.018	381.296	573.465	492.497	3036.45	1587.49	932.81	828.497	326.945	438.444	163.4	110.195	55.5192	166.558	0	0	0	0	0	54.6985	53.872
 25.9	103.525	205.954	311.411	313.549	519.633	417.781	386.333	358.178	171.061	307.797	465.979	487.517	332.583	2219.86	1549.72	896.251	201.827	262.246	207.673	156.595	0	158.264	105.542	52.7709	104.658	52.7709	52.669	52.7709	0	51.9162
 26.9	146.507	249.284	195.473	193.793	428.66	193.543	75.6657	546.912	681.423	441.508	291.287	423.749	664.993	2119.52	1226.19	984.627	644.077	249.252	148.084	99.2819	48.215	149.868	100.35	100.418	99.6075	100.411	98.6082	50.2415	0	50.2415
