Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017
Start Time,12:15:00,12:20:03,12:25:03,12:30:03,12:35:03,12:40:03,12:45:03,12:50:03,12:55:03,13:00:03,13:05:03,13:10:03,13:15:03,13:20:03,13:25:03,13:30:03,13:35:03,13:40:03,13:45:03,13:50:03,13:55:03,14:00:04,14:05:03,14:10:03,14:15:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
63.8,217.583,846.397,831.895,625.266,650.123,507.308,496.078,504.054,511.25,361.422,589.12,673.324,212.36,149.265,173.655,10.4122,19.8292,100.267,0,57.9999,19.1014,0,14.1885,39.4297,0
66.1,213.808,630.533,676.08,515.162,621.692,543.534,511.54,548.773,368.935,419.886,987.597,369.033,308.414,153.511,110.657,64.2918,48.9754,16.1041,19.2163,36.7626,0,0,17.0905,19.9605,0
68.5,117.229,701.677,621.81,742.233,389.857,570.743,515.23,475.62,407.882,267.381,638.109,377.862,429.479,121.127,59.4108,115.055,76.8984,47.5133,19.1671,43.2184,74.3085,19.7036,19.7638,15.7949,37.0101
71,199.301,586.373,638.968,454.99,435.262,345.154,603.809,552.914,251.937,447.766,796.444,337.311,331.902,202.612,73.3074,88.7539,33.7309,31.9869,16.7796,10.7168,32.6732,19.2969,16.614,0,16.3912
73.7,194.42,740.628,377.899,583.971,541.485,406.879,397.703,461.49,404.486,456.604,808.499,401.198,163.123,211.221,61.8034,50.1315,85.6317,14.5196,53.5129,37.6799,0,0,0,18.9768,19.0072
76.4,221.698,533.097,452.801,521.939,599.454,569.65,306.493,333.827,322.429,483.436,910.226,479.712,132.3,195.994,159.804,63.1395,56.9364,7.16942,32.5155,32.0006,0,33.0072,14.8498,0,56.6946
79.1,147.921,635.939,478.073,443.844,516.277,238.083,368.575,426.635,537.058,518.613,523.404,444.261,239.16,66.2923,0,21.7768,85.65,41.4893,87.3863,9.3213,9.24845,35.3082,24.1076,26.2038,15.3854
82,215.835,314.045,502.854,518.759,418.055,441.373,398.042,511.788,432.736,487.154,610.283,265.855,139.098,63.3665,17.0758,137.623,26.765,52.6869,13.6931,0,10.4309,0,3.7524,8.10104,17.6608
85.1,95.5266,598.733,612.679,309.851,528.332,466.496,322.827,508.025,364.993,354.57,539.554,200.742,240.691,99.1319,79.9634,83.4127,48.107,46.2913,51.2969,0,6.95452,0,13.0678,0,0
88.2,223.056,697.269,438.568,510.89,559.987,435.591,472.02,307.621,164.408,409.968,489.876,269.215,177.267,178.879,169.435,75.179,70.2435,0.741573,7.61436,0,64.4097,0,10.7693,0,13.6861
91.4,216.469,407.042,474.533,237.453,535.178,485.048,257.09,587.298,268.312,553.28,606.76,314.811,180.557,0,37.5346,116.183,12.9023,78.3631,29.047,15.9953,48.4796,30.8701,13.2606,12.14,32.4843
94.7,160.295,438.902,370.079,542.61,478.27,450.441,442.48,445.579,323.352,278.345,447.484,205.164,93.4161,143.818,67.8757,46.6844,8.80903,11.3124,24.2867,32.3022,0,0,47.7543,15.2785,34.8603
98.2,181.878,425.261,408.635,373.059,400.675,314.214,437.943,624.418,200.608,243.035,538.753,229.685,101.708,34.0999,67.8634,88.7609,79.6336,27.3863,3.11682,0,35.2152,14.863,12.5234,0,0
101.8,116.057,442.833,442.526,180.481,205.999,275.851,366.557,261.318,375.447,334.222,479.076,360.83,132.467,62.4048,119.119,38.6417,8.67225,74.7484,5.2071,0,31.8457,0,0,26.6406,19.6301
105.5,174.989,424.428,487.613,513.267,288.13,495.73,489.391,514.102,451.411,390.316,525.598,237.549,257.8,32.6625,118.554,45.34,28.4156,29.6834,13.3023,50.2299,32.0377,0,15.1133,0,14.3898
109.4,143.755,498.467,448.294,498.383,503.051,364.311,568.004,381.091,467.408,297.191,805.09,338.016,287.593,234.919,59.8549,33.5599,50.3398,16.7799,16.7799,0,33.5599,26.3785,0,0,0
113.4,167.166,587.06,759.116,351.049,634.945,465.658,599.247,391.493,465.37,315.208,568.078,469.899,174.321,133.733,33.4333,50.1499,83.5832,50.1499,16.7166,26.1354,50.1499,23.8709,16.7166,0,0
117.6,232.11,545.863,435.651,653.285,445.537,388.016,444.992,537.775,346.061,563.696,647.987,433.547,222.223,82.8964,82.8964,66.3171,33.1586,66.3171,16.5793,40.3964,23.272,0,6.69271,0,16.5793
121.9,181.737,815.92,422.89,505.498,495.646,259.151,391.323,467.031,396.517,495.646,645.281,439.412,108.981,183.213,132.172,33.043,33.043,0,16.5215,49.5646,26.3737,49.5646,26.3737,0,0
126.3,240.688,635.877,471.215,510.452,421.817,476.049,479.906,549.133,230.527,428.121,384.471,421.817,197.594,97.3261,65.8648,16.4662,32.9324,16.4662,0,16.4662,49.3986,16.4662,16.4662,16.4662,16.4662
131,186.564,564.068,383.788,524.957,367.109,426.212,389.541,515.093,459.039,525.222,712.052,383.788,311.585,65.6528,82.066,65.6528,0,82.066,49.2396,32.8264,32.8264,16.4132,32.8264,0,16.4132
135.8,153.627,686.374,447.885,425.687,442.05,298.103,464.777,359.973,353.29,343.611,474.51,327.248,65.7142,147.262,81.8121,32.7248,16.3624,32.7248,19.4125,0,16.3624,16.3624,16.3624,32.7248,16.3624
140.7,223.339,771.409,521.984,495.316,462.537,459.482,440.038,376.953,515.291,298.644,364.201,360.564,147.503,134.752,69.1948,16.3893,20.027,32.7785,29.7234,16.3893,16.3893,16.3893,16.3893,0,0
145.9,164.184,380.504,556.022,456.071,570.999,327.605,390.397,229.857,510.411,196.258,620.254,313.39,214.88,78.4477,78.4477,49.2552,45.6109,16.4184,49.2552,0,49.2552,0,16.4184,17.859,0
151.2,143.777,537.443,407.894,553.107,294.718,517.488,340.255,340.255,473.387,357.338,343.838,227.788,224.206,130.986,49.1197,32.7464,0,32.7464,49.1197,0,32.7464,16.3732,16.3732,14.9366,0
156.8,167.652,534.843,442.968,517.104,328.124,282.495,298.901,315.308,377.343,447.89,607.03,431.483,184.058,164.062,65.6249,49.2186,49.2186,37.7343,32.8124,4.92186,16.4062,16.4062,16.4062,32.8124,0
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
