Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17
Start Time	15:04:28	15:09:31	15:14:31	15:19:31	15:24:31	15:29:31	15:34:31	15:39:31	15:44:31	15:49:31	15:54:31	15:59:31	16:04:32	16:09:32	16:14:31	16:19:31	16:24:31	16:29:32	16:34:32	16:39:32	16:44:32	16:49:32	16:54:32	16:59:32	17:04:32	17:09:32	17:14:32
Diameter Midpoint
 30.0	7480.33	5508.98	7792.86	6796.76	6930.08	6770.27	4440.02	6179.97	6925.11	5671.89	5010.38	6824.98	6843.46	929.871	415.959	102.662	107.569	0	212.036	0	104.888	104.479	0	212.64	0	0	0
 31.1	6016.09	6670.91	5944.7	6501.89	5259.32	5362.78	6180.25	5973.31	6063.42	4990.56	6986.65	5961.91	6210.29	987.405	809.91	204.87	102.208	100.091	0	205.322	0	302.93	101.302	102.237	96.8452	97.5906	203.466
 32.2	6649.27	7227.94	6231.59	5846.86	6253.64	5326.85	6812.13	6374.66	5777.13	3307.36	4774.98	5099.27	6933.39	1429.02	89.4517	0	388.798	0	0	0	0	97.6192	0	95.1859	171.974	97.0383	0
 33.4	6071.83	5562.1	5802.72	6041.87	4957.59	5271.19	6369.77	5314.31	6077.45	5855.97	5484.29	4962.23	5929.23	1196.39	365.422	0	87.5983	87.4236	274.051	92.5318	84.6826	90.2193	0	0	108.418	0	89.8825
 34.6	5511.87	5237.62	4858.77	5316.4	4698.84	5810.22	4668.69	5285.42	4308.9	4878.24	6285.15	4213.33	6007.51	1215.79	255.392	0	0	86.8146	86.6917	0	86.9324	86.893	88.5507	84.1958	88.5825	262.634	86.7102
 35.9	4055.51	5345.82	4636.2	5411.76	5100.19	4532.12	5464.32	6138.14	4223.77	4893.64	4496.93	4135.17	5170.09	1167.26	246.665	85.1136	0	84.2403	0	170.227	0	99.7275	167.456	83.3482	81.5508	168.492	0
 37.2	5064.43	5711.89	5454.09	4377.71	4632.12	5273.09	5308.11	5999.74	5290.98	4328.54	3896.95	2804.18	4332.84	1046.07	73.7309	81.8004	0	158.223	156.982	0	76.3986	223.98	236.388	158.1	0	75.3914	159.934
 38.5	5764.72	4386.96	4604.12	5127.84	4680.56	6086.77	5346.71	4807.53	3442.93	3724.97	3967.54	4369.22	3280.78	907.434	214.026	78.1644	0	0	388.17	231.807	77.1091	156.329	8.61256	156.329	149.726	0	0
 40.0	5040.34	3460.95	5191.4	5128.44	3852.85	3983.57	4685.01	3433.68	4173.85	4356.72	4552.61	4029.55	4278.97	502.147	436.849	0	69.9884	0	0	0	0	0	75.303	149.243	0	0	0
 41.4	3523.71	4132.73	4784.84	4742.65	4096.58	4744.89	4919.33	4302.4	4862.57	3586	4166.79	3660.11	4471.83	397.88	68.7702	70.7953	0	0	0	0	69.1254	0	46.1932	141.448	0	70.648	0
 42.9	3411.69	4527.99	3915.25	4823.59	3916.27	5034.09	4083.79	3553.22	4090.46	3214.94	3519.12	3818.12	3310.5	872.773	274.444	136.82	0	0	65.5364	0	64.0751	65.1736	89.2093	69.6578	0	0	0
 44.5	5024.91	3641.19	4036.5	3623.71	3963.81	3938.87	3555.82	4044.48	3219.65	2591.43	3820.65	3626.24	3448.12	693.278	260.924	0	0	66.898	131.323	0	66.898	131.557	0	0	127.909	131.998	0
 46.1	4135.3	5038.17	4088.11	3527.31	4114.14	3115.88	2464.15	3356.41	4012.7	3886.89	3263.47	3838.16	3218.47	665.728	187.118	62.3737	62.5256	0	0	0	0	0	187.625	58.4897	124.567	0	256.191
 47.8	3872.25	3780.98	3565.74	4852.36	3919.96	3235.54	3025.62	3570.8	3611.5	2756.33	3012.9	3832.13	2565.5	477.554	112.593	246.84	124.592	120.084	113.795	0	184.51	55.4903	0	60.0763	57.8983	119.86	62.296
 49.6	3352.84	3120.81	3864.73	3858.17	4144.26	3326.72	3647.63	3058.4	2909.97	3531.6	3113.4	2713.99	2178.91	725.531	229.215	55.1245	21.8427	55.467	58.1779	60.3824	52.8687	53.7374	0	113.22	0	118.111	57.7693
 51.4	2865.16	3474.4	3281.67	3130.76	2949.68	3087.12	3431.02	2774.39	2821.47	2881.36	3065.31	3379.53	3111.36	459.449	165.685	0	33.0912	0	0	0	0	0	58.5759	0	56.1869	0	0
 53.3	2964.03	2683.43	3451.54	2979.27	3055.87	3157.71	3356.06	2790.14	3217.69	2700.77	2470.81	2875.76	3199.2	162.898	52.6474	0	0	54.8973	113.737	0	108.988	113.737	0	110.98	56.8687	109.079	54.6982
 55.2	2601.01	3225.42	3654.65	2957.87	2639.52	2215.51	2889.94	2881.71	2456.8	3629.76	3723.23	3262.85	2932.38	488.192	287.932	0	52.9187	140.122	51.7371	52.3949	0	0	0	0	107.724	52.8722	50.383
 57.3	2788.33	3454.03	3197.51	2873.34	2775.43	3012.3	2384.17	3538.78	2710.24	2532.78	2816.18	3014.24	3026.73	248.527	257.277	0	50.4854	71.4486	0	0	47.5702	0	0	0	48.699	107.447	0
 59.4	3496.76	3186.1	3890.63	3193.91	3057.01	2975.9	2724.02	2776.44	2031.52	2376.28	2328.49	2352.87	2547.23	451.479	49.8967	0	100.975	0	52.2735	0	0	0	0	52.2735	0	0	50.8709
 61.5	2227.37	2709.46	3139.84	2723.82	3107.71	2825.42	3258.25	1927.78	2719.37	3595.85	2148.36	2458.61	2485.65	346.068	21.9347	44.7507	50.0983	47.2589	46.4274	0	100.105	55.5304	44.919	0	0	49.6347	50.8972
 63.8	3146.85	3274.01	2717.18	2621.88	2640.66	2827.85	2371.79	2372.22	2628.97	2462.88	2995.54	2185.64	2859.15	385.446	84.7507	0	33.3796	0	43.817	0	0	39.6723	48.3953	0	43.7027	0	0
 66.1	2971.67	2956.4	2528.51	3108.67	2332.31	2448.04	2570.29	2061.46	2025.96	2606.51	1922.28	2681.97	2210.75	520.079	47.0174	41.0932	38.4342	0	0	45.8516	0	0	0	77.7869	85.343	44.8531	47.2126
 68.5	2579.67	2735.47	2606.91	2827.17	2427.06	2243.95	2196.13	2844.87	2549.79	2527.05	2230.23	2720.95	2493.24	358.543	94.8121	0	0	0	188.929	44.024	0	47.4061	142.218	38.8418	0	82.8018	0
 71.0	2532.23	2206.43	2527.8	2579.83	2005.03	1752.36	2343.16	2707.37	2371.98	2606.81	2232.84	1855.87	2041.58	6.21134	125.848	44.8301	0	86.2175	0	0	45.4769	78.3439	40.936	0	84.1004	0	0
 73.7	2570.08	2112.62	2289.23	2150.12	1554.96	1912.75	2665.64	2224.63	1591.4	1928.75	1568.96	1757.9	2235.42	382.98	86.3786	45.4133	37.6726	0	37.0505	0	82.7061	36.613	0	126.807	42.4334	44.6074	43.917
 76.4	2489.14	1558.14	2308.06	2227.08	2115.69	1412.31	1864	2362.63	1598.53	2289.13	2071.32	2193.51	1627.26	337.242	76.5888	0	0	0	0	0	36.134	0	0	0	0	22.6053	0
 79.1	2266.17	2052.67	2674.65	1928.01	1462.37	2180.94	2012.31	1836.53	2353.65	1230.96	1592.58	1686.34	1207.62	313.456	0	85.3636	43.7421	25.7775	0	0	36.062	0	87.4842	36.062	0	44.6151	28.382
 82.0	1874.93	1845.82	1483.65	2185.94	1926.32	1945.36	1657.49	1831.65	1841.02	2134.8	1607.43	1982.07	1021.29	160.998	0	0	0	28.9045	41.1698	33.4682	41.3096	33.8352	0	0	32.5883	0	39.2875
 85.1	1365.58	1542.88	1953.05	2225.05	1992.99	1635.12	2057.38	1537.49	2191.29	2107.56	1921.91	2037.81	1074.13	124.364	0	30.6063	33.8038	20.8529	0	0	42.33	82.3777	49.3507	0	35.171	0	29.5301
 88.2	2006.03	1634.01	2178.1	2152.22	1985.68	1925.47	1819.23	1923.2	1135.41	2011.39	1664.24	1685.82	1443.95	292.228	22.2238	28.2042	18.3848	83.7251	0	41.8626	38.8724	0	52.2977	0	83.7251	29.053	0
 91.4	1858.42	1605.66	1756.02	1652.4	2069.77	1510.73	1690.22	1910.69	1859.36	1995.6	1372.65	1665.78	991.617	257.234	234.49	41.2152	0	0	37.4371	41.2152	0	0	31.0364	37.4371	73.1667	0	0
 94.7	2207.39	1076.38	1955.56	2643.54	1638.71	1946.83	1621.3	1560.76	1434.38	1845.12	1864.73	1073.27	1208.33	384.634	40.7826	40.7826	122.348	40.7826	32.6953	76.5447	124.874	40.7826	0	34.7974	23.1784	0	34.7974
 98.2	1110.92	1583.89	1399.82	1431.94	2544.82	1146.7	1619.68	1231.09	1517.87	1390.41	1641.29	1908.22	1196.41	323.951	0	40.3646	40.3646	0	26.8437	0	158.958	0	0	121.094	72.1912	23.8057	0
101.8	1454.72	1567.22	1285.01	1902.45	1940.35	1427.63	1579.8	2025.67	1305.7	1711.44	1634.53	1648.94	1344.23	367.651	0	79.921	33.4062	0	0	20.8218	0	0	0	33.4062	75.4469	70.1446	0
105.5	2017.18	1565.98	1822.78	1661.05	2136.88	1592.53	1107.37	861.436	1622.2	1133.71	1687.64	1268.49	1083.15	397.336	63.0353	0	27.7	35.3353	31.9343	24.2991	0	74.9049	24.2991	74.9049	39.5696	0	0
109.4	1737.42	1678.81	1682.59	1578.65	1827.92	2128.23	1638.38	1506.43	1621.55	1806.17	1961.52	1953.14	1134.02	367.441	15.2439	0	35.6954	39.1913	35.6954	32.1994	39.1913	39.1913	0	39.1913	0	0	0
113.4	2166.26	2398.58	2566.16	2095.34	2225.62	1823.37	2388.73	2124.49	2170.59	1831.11	2409.08	1873.93	1472.32	273.033	59.3587	0	39.0047	39.0047	0	0	39.0047	39.0047	0	39.0047	117.014	0	0
117.6	2255.92	2055.85	2219.16	2490.41	2146.81	1871.33	1685.65	1824.69	1881.95	2515.85	2394.96	1911.86	1607.63	386.472	38.6472	0	0	77.2944	0	0	38.6472	77.2944	0	38.6472	70.4623	70.4623	77.2944
121.9	1681.93	2035.03	2314.67	2229.95	1646.96	2304.37	1922.9	2227.21	1969.14	2077.77	1835.08	1503.15	1153.56	346.295	76.9544	76.9544	0	38.4772	0	38.4772	0	38.4772	0	0	45.2792	45.2792	0
126.3	2001.73	2167.7	2234.07	1572.46	2344.71	2206.01	1662.87	1954.04	1826.39	1826.39	2115.61	1908.1	1425.16	306.516	229.887	38.3145	0	114.943	38.3145	38.3145	0	0	0	38.3145	38.3145	153.258	38.3145
131.0	1930.42	2401.8	2122.66	1777.15	2671.11	2349.53	2201.81	1743.27	2292.24	2011.02	1710.03	1768.59	1654.93	305.269	76.3173	76.3173	114.476	0	38.1587	0	0	38.1587	76.3173	76.3173	0	38.1587	38.1587
135.8	1973.93	1832.1	2098.65	2064.49	2199.23	2075.98	2354.02	2178.52	1845.85	2175.46	2087.96	2024.71	1074.96	380.095	76.019	0	38.0095	0	0	0	38.0095	38.0095	38.0095	0	0	76.019	38.0095
140.7	2267.36	1791.79	2335.87	1538.87	2778.73	2018.26	2170.43	2143.89	2118.85	1571.11	1807.21	1768.9	1057.6	342.378	0	0	0	0	38.0419	0	0	0	38.0419	38.0419	93.2778	0	38.0419
145.9	2225.25	2020.86	2430.07	1661.57	1987.08	1900.16	2395.21	2315.82	1986.65	1872.84	1762.26	2007.52	1125.21	231.71	0	0	0	0	38.0808	41.3066	0	0	0	0	24.0952	38.0808	0
