Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	10:04:00	10:09:04	10:14:04	10:19:04	10:24:04	10:29:04	10:34:04	10:39:04	10:44:04	10:49:04	10:54:04	10:59:04	11:04:04	11:09:04	11:14:04	11:19:04	11:24:04	11:29:04	11:34:04	11:39:04	11:44:04	11:49:04	11:54:04	11:59:04	12:04:04
Diameter Midpoint
 25.0	687.278	6189.9	682.726	686.883	1732.07	815.808	1125.63	842.894	746.478	741.171	2459.89	427.772	214.541	0	0	0	0	0	0	0	0	0	54.0594	108.114	0
 25.9	550.919	1369.13	830.208	768.482	648.319	1190.45	953.424	1117.34	859.908	573.56	2476.93	253.063	47.1222	0	0	0	0	0	0	0	0	0	0	0	0
 26.9	678.421	1550.4	1129.3	1173.11	623.332	885.164	733.643	667.123	850.885	543.512	2217.87	534.678	46.4361	0	98.0693	0	0	0	0	0	0	0	49.0346	0	0
 27.9	640.459	499.223	686.431	854.453	780.024	791.919	633.262	782.995	651.262	557.482	2081.52	140.032	50.1261	0	0	0	0	0	0	0	0	46.398	0	0	43.677
 28.9	2883.45	831.419	952.488	726.357	734.796	564.803	647.445	761.088	736.605	356.712	1859.73	299.21	173.726	0	0	0	0	0	0	0	0	44.3659	0	0	0
 30.0	521.18	917.683	764.681	670.857	811.083	512.431	730.056	762.544	474	709.783	1900.96	246.508	124.783	42.1301	42.1301	0	0	42.1301	0	41.1515	0	0	0	41.1515	0
 31.1	432.816	1270.51	626.077	746.916	683.463	676.235	721.812	1040.36	526.024	513.17	1461.17	195.849	79.4044	0	40.4013	0	0	0	0	0	39.4217	0	0	0	40.2229
 32.2	443.281	646.727	725.669	712.059	639.237	752.418	482.789	861.434	639.685	730.868	1541.72	265.168	77.368	38.7917	0	0	0	0	36.6957	0	0	0	36.5257	0	0
 33.4	525.819	754.102	691.014	606.389	349.783	532.263	501.354	905.395	653.925	466.482	1250.6	67.7008	72.7278	0	0	0	0	0	1.00126	0	0	0	0.0191208	37.0059	0
 34.6	552.793	682.787	691.581	501.542	256.684	329.072	518.084	476.661	413.305	270.336	1488.43	206.674	33.9456	0	0	0	0	0	0	0	0	0	0	0	0
 35.9	637.079	768.926	485.484	656.393	483.636	755.29	402.862	584.168	433.63	662.192	1149.88	194.175	65.5701	33.7493	0	34.0756	0	0	0	0	0	0	0	0	0
 37.2	567.574	724.424	481.684	508.769	768.929	476.536	498.761	498.19	517.882	462.71	1182.1	153.005	162.876	0	0	0	0	32.8749	0	0	0	0	0	4.87173	0
 38.5	267.882	635.247	512.979	230.748	475.326	512.651	379.594	673.305	679.221	456.524	1271.44	151.092	93.1814	0	0	0	0	0	0	0	0	31.0483	0	58.3858	0
 40.0	253.848	424.134	758.298	432.666	369.33	320.455	488.941	250.469	401.908	309.375	797.784	209.416	0	0	0	0	29.3264	0	0	28.29	0	0	0	0	90.9144
 41.4	472.221	682.133	558.417	443.033	441.506	686.818	522.358	624.116	383.129	390.973	1057.84	109.395	0	29.3018	0	0	0	0	0	2.10679	29.3018	0	0	0	0
 42.9	286.337	482.677	450.076	351.892	367.195	545.693	265.793	400.766	386.182	405.755	718.343	159.465	40.6035	0	0	0	0	0	0	28.3826	0	0	0	28.3826	0
 44.5	233.466	518.338	694.118	456.966	436.205	198.387	484.068	472.353	324.479	500.319	908.461	141.182	37.8023	0	0	0	27.3423	0	27.3423	0	26.4842	0	0	0	0
 46.1	425.895	546.564	414.968	547.217	433.636	467.12	474.165	210.78	428.652	252.718	1013.9	134.537	0	0	0	49.6644	0	0	26.5313	26.5313	0	0	25.6374	0	25.6374
 47.8	624.735	538.128	262.553	391.822	359.276	454.211	322.835	390.369	330.335	279.862	887.43	123.013	24.8144	0	0	0	0	0	0	0	0	0	23.6529	0	50.1044
 49.6	315.226	469.574	423.87	610.076	507.503	470.364	314.743	525.195	165.183	376.52	830.024	113.96	24.0211	0	0	0	24.8898	0	0	0	24.8898	0	0	0	0
 51.4	257.813	457.378	366.011	467.981	469.026	506.623	626.107	358.907	291.416	290.622	970.88	159.81	48.416	0	0	0	0	0	0	0	0	0	0	0	0
 53.3	300.22	390.118	227.891	238.84	390.483	340.236	393.785	479.546	529.729	435.907	722.91	192.214	23.5611	21.2253	0	0	22.224	0	0	0	0	0	0	0	22.308
 55.2	211.52	332.219	291.762	313.131	336.047	277.979	452.549	258.984	207.371	196.016	807.441	115.98	19.9534	0	22.9466	20.7182	22.0112	0	21.977	0	22.9466	0	43.4013	0	20.9066
 57.3	248.783	455.018	369.727	274.141	359.8	224.662	360.551	346.06	286.497	309.421	681.288	36.2364	19.1758	0	0	21.488	22.3625	22.3625	0	0	0	22.3625	21.4528	0	0
 59.4	301.794	220.901	353.267	324.335	329.797	127.936	333.178	236.676	317.671	306.223	558.329	82.3356	19.5089	0	0	0	0	21.8067	0	0	0	0	0	0	20.9679
 61.5	338.823	321.184	376.059	366.116	336.443	329.283	110.286	272.686	350.635	175.557	766.948	117.817	0	0	0	0	0	0	0	0	0	0	0	0	19.2202
 63.8	219.175	282.414	352.429	317.508	349.101	519.752	364.398	264.771	168.567	273.291	774.152	130.146	41.0874	20.7727	0	0	0	0	0	0	15.5813	0	0	0	0
 66.1	129.001	360.209	162.799	232.661	355.61	267.507	172.657	162.181	219.526	364.328	658.518	47.0125	38.4372	0	17.247	60.8742	0	20.2914	0	0	0	20.2914	0	0	0
 68.5	175.26	124.413	279.683	298.979	312.182	266.809	355.3	295	225.781	224.621	475.631	72.1132	0	0	0	0	0	0	0	0	0	0	19.9335	0	19.9335
 71.0	219.844	73.4812	346.702	301.607	253.523	287.468	310.424	164.877	305.251	291.924	378.384	127.826	15.5704	0	0	18.1993	0	0	0	0	0	0	16.5081	0	0
 73.7	208.118	262.422	289.886	203.388	293.486	258.59	282.072	150.493	290.843	93.4313	537.732	57.7641	0	0	0	0	0	0	0	0	0	0	18.5439	0	0
 76.4	170.57	316.6	231.365	160.571	200.077	242.037	351.806	174.475	280.662	286.247	526.195	97.6961	0	17.7807	0	18.0896	0	0	0	0	0	0	0	15.4961	2.58135
 79.1	199.542	225.779	177.625	262.108	231.477	181.177	183.793	245.661	127.959	265.549	456.368	59.3401	0	18.3978	0	14.56	17.888	0	18.5425	8.16933	0	18.5425	18.4702	0	14.8988
 82.0	89.8309	276.484	194.759	231.836	227.152	200.835	353.691	269.776	137.373	187.122	282.948	65.8588	35.7942	0	0	17.544	0	0	0	10.2093	0	0	18.2495	0	15.079
 85.1	162.364	246.676	286.401	134.636	334.248	161.058	262.613	263.978	252.387	218.269	495.501	55.4111	14.9284	0	16.9983	0	0	0	0	0	0	0	0	17.9671	17.9671
 88.2	167.228	299.633	246.398	174.08	283.081	163.658	237.57	325.258	204.729	101.747	275.749	21.9369	15.2393	0	0	0	0	0	0	0	0	32.658	17.7792	35.5584	0
 91.4	133.989	217.579	512.746	261.432	256.464	216.518	242.59	277.221	182.544	299.443	253.669	75.8437	12.0743	0	0	0	0	0	0	0	17.5142	0	33.4228	0	17.5142
 94.7	191.622	160.271	333.787	208.972	278.647	92.8794	165.495	118.964	246.936	189.107	365.078	94.8843	0	0	17.3396	0	0	0	0	0	34.6792	0	0	0	0
 98.2	166.044	236.499	321.162	793.427	259.631	72.4288	147.131	114.524	89.2528	83.0395	250.545	74.509	14.791	12.4848	17.1408	0	14.7889	0	0	0	0	0	0	0	0
101.8	89.3793	1707.33	211.898	249.364	161.998	154.88	141.229	254.826	159.419	167.634	315.564	35.5423	15.0954	0	0	0	0	0	0	0	0	0	0	0	0
105.5	220.642	481.293	187.821	155.291	171.138	191.572	189.083	107.012	288.818	231.79	317.43	61.4376	16.8467	16.8467	0	7.29371	0	0	0	0	0	0	16.8467	15.0439	0
109.4	143.204	143.204	236.206	245.763	195.562	243.439	169.383	167.059	286.407	152.677	350.824	66.8237	16.7059	0	16.7059	9.47314	16.7059	0	0	0	0	0	0	16.7059	0
113.4	256.811	340.04	299.482	282.693	190.228	240.165	190.228	116.521	197.352	232.898	408.879	66.5833	16.6458	0	0	0	0	0	0	0	16.6458	0	33.2916	16.6458	0
117.6	99.0709	204.807	320.933	285.271	297.213	148.606	264.189	204.807	181.63	228.527	320.933	56.2009	0	0	0	16.5118	0	0	0	0	0	0	0	0	0
121.9	213.94	226.694	197.483	276.065	197.483	198.953	296.225	195.251	263.311	141.469	381.45	60.6547	0	0	0	0	0	0	0	0	16.4569	0	0	0	16.4569
