Sample File,D:\OlinCollege\All_data\OlinCollege\No Filter\Baseline1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017
Start Time,14:03:00,14:08:03,14:13:03,14:18:03,14:23:03,14:28:03,14:33:03,14:38:03,14:43:03,14:48:03,14:53:03,14:58:03,15:03:03,15:08:04,15:13:04,15:18:04,15:23:04,15:28:04,15:33:04,15:38:04,15:43:04,15:48:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
24.1,4001.5,258093,274228,163793,77794,67225.2,62598.7,53405.3,25658.6,24683.8,21165.9,19169.9,20190.9,16354.8,9785.59,9517.71,7371.69,7007.84,6252.94,4369.45,5309.06,4311.84
25,4277.28,251332,257958,149729,74198.2,65228.6,62580.3,54595.3,25126.4,23358.2,22572.7,20049,18308,16779.5,9132.97,9131.55,6786.79,7244.87,5500.07,4912.77,4337.95,3460.28
25.9,4994.17,265851,239887,137942,65751.9,62079.3,59016,50283.4,21430.7,23043.6,21978.8,16861,16464.2,15825,9463.46,7922.85,6925.5,5389.02,5615.8,3923.48,3824.93,3338.89
26.9,5049.44,247591,221052,123774,61209.7,61068.3,55788.2,50330.5,22410.6,21999.2,19460.1,17526.8,16694,15430.1,9341.12,7417.64,6721.82,6724.23,6167.67,4081.85,3497.42,3578.84
27.9,7337.41,240895,190349,111466,56679,58930.7,53024,48920,21692.9,21023.3,18765.3,17088.3,16353.7,13565.2,8000.5,7843.55,7040.61,5791.07,5691.02,4601.76,3919.69,3707.45
28.9,6478.82,207638,167171,102215,53582,46604.1,44681.7,45212.8,18858.4,19722.1,16481.1,16524.8,14843.9,14298.2,8795.31,7011.54,5698.92,6493.92,5624.68,4162.19,3993.24,3850
30,4377.2,153281,147847,91790.2,49176.3,44013.2,44366.3,40260.1,19600.3,19137.9,16518.7,15952.2,15047.4,13162.6,7692.25,6647.87,7320.42,6178.49,4878.87,4371.45,4062.39,4118.27
31.1,5156.5,143625,139115,79488.5,45225.1,42055.6,38491,36922.8,18035.2,17475.8,16476.1,13838.4,13407.8,11954.4,7747.55,7214.06,6611.43,5325.07,4135.63,4332.71,4651.12,3491.22
32.2,4380.99,145310,128892,68663.5,38939.9,37714,36294.7,35409.3,15389.4,16526.7,15481.4,12528.9,12214.2,11302.9,7161.08,6771.21,5242.71,5739.83,4989.99,3897.14,3347.87,3592.83
33.4,3674.9,137482,106607,58423,36381.3,35547.8,33973.4,31582.2,16559.7,15024.6,13818,11392.3,11436,10727,6935.48,6078.28,5386.65,5605.45,4632.6,3814.94,3810.32,3296.54
34.6,3416.71,121616,95316.8,50023.2,33776.7,31372.9,29602.9,29356.6,14118.5,12839.8,11220.6,11825.2,10882.4,9610.08,6096.36,5467.44,4901.55,5183.27,4947.43,3740.11,3562.94,3041.86
35.9,4092.05,98969.5,90957.7,48359.7,30717.4,28322.6,27513.6,25049.6,11504.8,12350.3,11002.7,10549.4,11110.2,9329.53,5940.91,5051.56,5550.35,4987.86,3604.07,2684.45,3527.62,3077.94
37.2,4473.7,83934,84624.4,42508.1,27458.1,26046.1,24315.1,24655.4,12436,12932.5,10460.7,8942.06,9275.62,8598.2,6685.24,5429.44,4921.72,3969.78,4603.68,3955.83,3278.29,2954.26
38.5,4693.94,73463.4,74294.1,38664.1,23077.7,24858.8,20633.1,20683.3,10615,10573.3,9493.2,8666.5,7479.49,8510.48,4650.41,5210.91,4459.73,4145.86,4079.53,3076.08,3232.56,2424.04
40,3779.96,67394.2,69026.9,32996.7,22424.6,22159.2,19504.8,19464.2,10061.4,9863.12,9027.2,8683,7525.71,6442.61,4757.57,5010.95,4046.76,4054.52,4012.88,3186.06,2920.47,2702.85
41.4,3851.2,68977.4,62104.6,31183.8,19361.1,19106.8,18715.7,15840.3,9075.62,8575.95,8862.79,7861.77,7564.96,5771.13,4040.69,3783.01,4331.38,3637.97,3214.52,2909.48,2447.56,2595.44
42.9,3992.73,68376.6,55271.1,27802.9,18416.3,17350,16111.6,15258.5,8188.98,7173.54,7841.57,7165.42,7281.19,5942.63,4527.35,4215.2,3232.49,3796.72,3464.16,2497.44,2643.18,2475.86
44.5,3332.7,74056.2,51813.4,27438.8,16388.5,16490.1,15765.8,15927.4,7784.98,7448.47,7268.15,6756.42,7245.37,4681.75,3710.2,3551.18,3338.61,2622.84,2913.22,2534.09,2472.65,2170.41
46.1,3093.09,71134.5,49196.1,25646.1,14440.6,15367.7,13661.1,13302.5,7748.3,7073.78,5732.48,5847.44,5766.38,4890.14,3553.43,3676.14,3009.47,2761.94,2817.31,2360.7,2105.57,2111.87
47.8,2731.87,67278.6,48304.5,24489,15031.7,13118.8,13838,13507.3,7680.64,6400.21,5397.17,4759.17,5459.06,4704.46,3547.05,3118.78,3420.6,2741.8,2909.55,2349.26,2398.44,2218.71
49.6,2635.8,62639.6,47589,22672.9,14951.9,13320.6,13027.8,11091.7,6899.06,5754.42,5831.55,5895.53,5309.02,4769.18,3151.58,3526.88,2942.46,2376.63,2482.07,1797.56,1846.67,1963.07
