Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,11:25:00,11:30:03,11:35:03,11:40:03,11:45:03,11:50:03,11:55:04,12:00:03,12:05:04,12:10:03,12:15:04,12:20:04,12:25:04,12:30:04,12:35:04,12:40:04,12:45:04,12:50:04,12:55:04,13:00:04,13:05:04,13:10:04,13:15:04,13:20:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
47.8,3607.5,3848.94,3946.89,3690.91,3951.19,3640.15,3730.3,3999.42,5369.46,3398,2978.89,2231.49,1752.66,1563.73,1273.85,941.414,1078.34,727.495,787.044,832.959,565.718,588.2,546.886,648.707
49.6,3467.63,3552.14,3195.55,3537.6,3572.31,3358.67,3689.81,3792.89,5900.91,3141.17,3723.23,2179.05,1720.24,1548.45,1498.99,836.397,557.417,900.085,763.551,780.256,579.557,612.832,451.595,703.973
51.4,3692.71,4013.67,3437.1,3797.97,3439.4,3911.34,3802.15,3389.93,5579.59,3807.8,3044.33,1942.11,2058.54,1673.83,1073.18,913.336,891.075,863.065,1012.01,772.037,630.481,406.602,335.149,552.963
53.3,2918.93,2918.74,3168.97,3735.68,3519.13,3582.93,3282.33,3405.34,4471.61,3153.47,2588.9,2218.71,1840.1,1550.83,1254.48,1083.08,923.503,477.71,551.891,817.535,756.213,599.016,495.899,572.077
55.2,2768.66,3252.88,3218.71,3222.61,2981.59,3134.89,3286.9,3369.59,4422.31,3297.54,2409.65,1834.78,1718.75,1611.91,912.227,1099.24,741.512,864.697,816.013,732.386,392.473,696.395,400.517,398.082
57.3,3020.98,3234.16,3015.12,3026.51,3382.17,2956.13,3135.08,3190.85,4548.85,2997.72,2108.45,2047.3,1632.97,1248.75,1096.43,949.909,873.318,561.312,807.349,565.1,606.543,574.891,475.654,593.025
59.4,2444.59,3088.72,2627.64,2239.52,2697.28,2636.81,3135.96,2585.23,4384.82,3146.49,2042.81,1864.12,1583.35,1369.83,983.262,825.473,685.301,647.28,823.294,674.761,498.523,561.142,349.131,460.272
61.5,2326.96,2481.55,2255.55,1979.79,2672.2,2769.95,2727.42,2728.53,4264.99,3023.48,1942.46,2058.06,1312.99,1140.02,1001.04,958.714,649.361,656.383,779.968,565.787,777.774,579.141,423.561,431.092
63.8,2203.71,2313.93,2414.07,2178.45,2274.03,2376.35,2170.29,2510.17,3879.82,2872.71,2204.93,1815.88,1190.31,1072.56,782.497,826.668,437.459,509.03,448.862,482.783,399.689,484.924,369.771,596.948
66.1,2488.1,2106.94,1947.82,2168.5,2316.07,2014.81,2093.9,2253.89,3691.4,2567.22,1604.39,1525.43,1232.28,796.624,780.734,691.509,658.369,553.52,622.916,613.346,574.428,465.304,565.711,587.479
68.5,1687.53,1705.55,1725.51,2086.69,1989.23,2185.66,2172.82,2200.51,3484.3,2393.4,1764.46,1302.16,1229.61,1067.82,860.809,717.401,612.65,548.655,352.329,644.729,532.01,339.388,437.808,748.176
71,1512.64,1743.81,1607.43,1969.15,1561.75,1689.9,1742.61,1580.36,3258.22,1684.85,1239.93,1611.3,1249.17,733.091,712.325,735.619,419.144,481.972,655.155,450.447,514.08,620.081,424.082,345.881
