Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Low.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,10:05:00,10:10:04,10:15:03,10:20:04,10:25:04,10:30:04,10:35:04,10:40:04,10:45:04,10:50:04,10:55:04,11:00:04,11:05:04,11:10:04,11:15:04,11:20:04,11:25:04,11:30:04,11:35:04,11:40:04,11:45:04,11:50:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
113.4,417.772,13844.8,19508.6,18840.9,17443.3,17390.2,15455.2,14348.1,9700.83,7794.52,5864.88,4041.36,3335.02,2411.37,1623.06,1396.61,832.776,778.384,494.201,379.306,233.889,300.899
117.6,435.105,12382.8,18759.3,18987.6,18539.4,17682.1,15903.7,14208.8,10591.1,8039.82,5699.19,3804.42,3337.71,2297.42,1512.6,1242.19,805.529,793.157,345.516,353.299,239.348,232.11
121.9,599.434,13369.1,19273.7,17729.8,18007.8,17188.3,16170.8,15350.6,10807.2,7925.59,5374.91,4516.92,3440.83,2143.01,1795.12,1281.47,1118.27,754.797,542.969,298.863,232.777,315.385
126.3,516.695,14161.9,19030.7,19397,17216.6,16903.9,15592,15470,10187.9,7643.16,6020.35,4573.98,3216.11,2159.82,1841.21,1210.66,908.027,710.433,621.302,407.736,245.522,179.657
131,467.763,15084.6,19481.7,18896.9,17852.6,17648.6,15740.4,16419.3,10101,7332.59,5634.97,4322.71,3322.84,2071.88,1343.42,1267.9,800.137,553.408,409.799,461.744,246.198,229.785
135.8,458.677,14912.1,19809.8,18281.2,17111.3,16718,14878.3,15270.9,9869.49,7563.91,5703.32,4306.73,2860.53,2251.86,1862.21,1368.02,837.798,694.115,513.864,265.113,267.899,179.987
140.7,409.731,13812.3,18873.8,16934.3,16426.7,17449.7,15295.2,15315.1,9974.48,7639.4,6193.99,4377.98,2909.78,2489.28,1916.24,1128.97,716.234,538.373,469.178,357.509,489.205,229.45
145.9,365.526,14565.4,18363.8,18764.9,17728.2,16424.8,15333.4,15537.1,9562.53,7690.15,5583.88,4544.12,3328.76,2047.89,1903.68,1279.11,809.224,705.228,559.666,395.482,439.652,99.9509
151.2,368.692,13394.3,18527.7,16472,16282.7,16995.3,14737.5,14136,9536.28,7519.02,5664.05,3808.26,2942.63,2291.42,1731.13,969.482,783.041,683.264,600.79,318.863,261.972,162.296
156.8,407.182,12771.4,18282.7,17113,15682.9,16285.6,13935.8,13688,9681.53,6711.49,5117.92,4341.6,2548.09,2309.59,1308.5,1045.69,835.076,592.165,341.558,405.85,311.718,190.312
