Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17
Start Time	17:47:44	17:52:48	17:57:48	18:02:48	18:07:47	18:12:48	18:17:48	18:22:48	18:27:48	18:32:48	18:37:48	18:42:48	18:47:48	18:52:48	18:57:48	19:02:48
Diameter Midpoint
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	8.42794	8.96589	8.96524	8.87949	9.02765	8.67707	8.97602	8.90183	8.80681	8.75382	8.78201	9.03408	8.98894	8.87231	8.73382	8.86361
Mean(nm)	13.6086	15.3909	13.9116	13.9079	13.8377	13.7753	14.0398	14.0485	13.9171	13.8784	13.937	14.246	14.1219	13.8866	13.7677	13.9059
Geo. Mean(nm)	10.7608	11.5347	10.9231	10.8755	10.884	10.7931	10.9822	10.9594	10.8506	10.8625	10.8807	11.0843	10.9764	10.8719	10.752	10.8599
Mode(nm)	8.2047	8.2047	7.36525	7.36525	7.10497	7.36525	7.36525	7.10497	7.10497	7.10497	7.36525	7.36525	7.10497	7.10497	7.10497	7.36525
Geo. Std. Dev.	1.71228	1.84224	1.7377	1.73914	1.73487	1.74149	1.74392	1.75285	1.75079	1.74509	1.7519	1.75856	1.7579	1.73973	1.74522	1.74532
Total Concentration(#/cm³)	16267.3	17362.3	22787.5	21944.9	21961.2	20198.5	19029.3	17870.9	17440.6	17362.7	16729.9	15326.5	15099.3	14961.4	15173.5	14366.6
Comment																
