Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17
Start Time	17:12:21	17:17:25	17:22:25	17:27:25	17:32:25	17:37:25	17:42:25	17:47:25	17:52:25	17:57:25	18:02:25	18:07:25	18:12:25	18:17:25	18:22:25	18:27:25	18:32:25	18:37:25	18:42:25	18:47:25	18:52:25	18:57:25	19:02:25
Diameter Midpoint
 61.5	921.369	1198.27	1203.34	1009.32	1495.57	861.827	1133.49	6130.98	3141.49	1662.84	1243.85	470.107	512.07	306.801	119.11	248.671	79.838	22.2236	45.0007	70.4091	94.1027	119.318	1.01646
 63.8	706.047	1354.39	1322.15	1222.48	1110.08	1292.09	1128.25	5421.34	3258.47	2019.92	1063.19	501.24	453.386	377.518	212.09	226.76	126.027	25.5262	27.7018	157.2	75.2784	24.4077	89.9292
 66.1	786.919	1264.43	1608.46	1322.9	1809.83	1424.32	1283.96	5402.17	2988.83	1760.91	1238.37	742.619	436.435	233.766	141.706	200.066	232.023	132.201	41.2704	79.1463	130.916	73.6938	109.543
 68.5	969.343	1379.02	1070.73	1509.02	1264.94	1289.63	1102.88	6329.81	3165.3	1708.05	1014	732.59	176.518	295.953	325.089	120.427	139.41	96.1962	74.6655	73.0158	0	72.2859	176.95
 71.0	1240.44	1001.17	813.07	1337.87	1315.04	1427.55	1337.37	4510.16	2496.04	1517.54	1073.06	595.988	333.816	288.288	161.638	291.124	191.522	227.845	33.3811	222.833	79.0726	54.3243	118.939
 73.7	1109.46	1229.8	1361.8	1562.64	1067.93	1187.98	1371.9	5009.16	3052.11	1562.01	991.816	867.475	260.704	223.312	124.452	127.099	71.3347	194.698	53.403	92.6206	74.9663	143.456	129.318
 76.4	1044.05	1253.89	1243	1130.21	1199.3	1208.22	1254.95	5059.42	2344.61	1465.09	811.055	748.171	447.945	248.138	244.851	167.068	72.7919	164.388	0	30.0172	56.4128	73.7296	136.199
 79.1	783.166	1149.24	1296.04	1088.64	1329.98	1307.23	1504.18	4822.26	2187.07	1400.2	859.24	659.827	514.904	206.789	256.653	117.531	200.405	72.8296	23.7818	122.476	26.5799	43.9363	44.1879
 82.0	850.288	1292.48	826.401	1126.61	1241.15	1107.03	1251.61	4462.88	2350.45	1342.39	1002.29	651.169	490.516	204.233	181.087	159.682	113.03	213.027	34.3973	131.733	86.2583	119.533	102.625
 85.1	1068.73	1498.64	1082.56	1310.86	1474.95	1314.02	1183.32	4092.21	2373.65	1419.53	757.477	605.567	519.593	176.317	268.504	135.999	166.299	66.2763	67.4015	137.462	23.2872	30.0493	77.0328
 88.2	1229.49	1555.91	1186.44	1243.95	1385.24	1326.35	1393.38	3899.85	2164.36	1347.54	681.975	684.132	334.96	206.456	90.9232	223.881	177.005	148.089	50.4876	42.9192	57.3349	32.3344	162.025
 91.4	1005.26	1108.8	1142.33	1145.87	1157.15	1331.37	1333.72	3968.81	2411.16	1047.41	1017.88	537.862	269.376	235.459	194.119	158.806	188.476	121.764	146.146	115.419	91.2386	68.4996	134.275
 94.7	1021.01	1110.36	1225.63	1039.28	1094.61	1404.33	1533.86	3717.77	2041.94	1673.81	1177.3	446.733	285.053	87.8104	243.439	128.348	85.169	89.6021	65.9016	45.6423	38.4459	113.622	56.6671
 98.2	1109.27	1578.25	1293.3	1311.43	1143.11	1088.64	1026.37	3889.28	2296.76	1220.96	690.95	557.047	405.43	341.951	237.271	139.297	73.3417	55.5499	123.47	148.798	75.7316	171.197	78.0078
101.8	931.33	1324.74	1413.72	1043.55	1357.97	1371.89	1275.66	3784.39	1849.36	1372.11	1045.98	547.23	373.588	174.862	207.042	49.951	120.387	142.111	140.232	93.3736	155.226	147.381	135.98
105.5	933.703	1467.19	1384.99	1184.71	1475.62	1348.06	1309.76	3560.92	2155.62	1193.56	722.612	733.576	366.525	276.75	142.541	158.378	121.78	126.34	114.452	99.7354	78.6455	115.803	82.8941
109.4	1071.4	1529.31	1620.04	1181.68	1586.38	1454.74	1061.8	3681.71	2087.78	1529.13	862.861	505.732	505.732	436.278	83.8996	117.459	110.195	67.1197	268.479	184.579	194.178	103.013	103.013
113.4	816.563	1146.01	1528.22	1537.36	1425.09	1353.33	1123.97	3430.94	2373.26	1575.82	883.286	408.353	293.458	243.452	100.3	100.3	93.002	109.719	200.6	100.3	157.604	207.754	57.3041
117.6	1247.49	1424.02	1224.52	1328.83	1312.25	1226.7	1210.67	3057.42	2071.16	1125.29	856.825	520.65	369.333	319.05	265.269	132.634	73.555	146.565	116.055	116.055	122.748	33.1586	33.1586
121.9	995.95	1375.41	1151.01	1564.35	1266.96	1431.41	1038.61	3363.36	2145.02	1293.11	680.565	328.189	455.933	219.439	117.127	181.737	99.1291	93.9358	166.691	51.0406	92.4597	99.1291	82.6076
