Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	18:12:24	18:17:27	18:22:27	18:27:28	18:32:27	18:37:27	18:42:27	18:47:27	18:52:27	18:57:27	19:02:27	19:07:27	19:12:27	19:17:27	19:22:27	19:27:27
Diameter Midpoint
113.4	606.373	1022.38	605.944	489.853	140.29	249.687	83.2291	99.8749	66.5833	99.8749	66.5833	40.4156	49.9375	66.5833	33.2916	73.7072
117.6	610.937	819.772	655.74	396.283	204.807	148.606	82.5591	49.5354	99.0709	49.5354	49.5354	23.1773	33.0236	16.5118	49.5354	33.0236
121.9	511.635	1003.34	636.647	580.403	258.138	246.854	83.7549	32.9138	82.2846	32.9138	32.9138	108.555	32.9138	16.4569	82.2846	65.8277
126.3	674.954	900.711	767.099	481.452	221.914	266.312	90.6794	114.83	124.954	82.0216	82.0216	65.6173	49.2129	65.6173	82.0216	49.2129
131.0	601.263	1012.28	819.332	349.693	186.154	208.77	38.7049	81.7695	104.385	81.505	114.477	65.4156	65.4156	32.7078	0	49.0617
135.8	652.223	785.97	688.664	475.901	188.48	179.361	84.831	65.2223	32.6111	98.0971	97.8334	81.5278	65.2223	0	32.6111	16.3056
140.7	657.005	917.106	572.288	269.184	382.893	117.967	143.966	81.6725	81.6725	49.0035	81.6725	81.6725	36.2946	49.0035	32.669	32.669
145.9	652.428	814.287	585.529	468.013	98.1936	177.825	81.828	81.828	65.4624	16.3656	65.4624	65.4624	95.9971	81.828	34.1672	16.3656
151.2	604.54	862.13	649.332	383.874	310.129	178.116	163.226	97.9354	114.258	32.6451	16.3226	65.2903	80.1806	81.6128	47.5355	97.9354
156.8	547.565	955.171	580.994	351.991	278.075	130.859	147.216	103.051	65.4294	32.7147	65.4294	81.7868	49.0721	0	49.0721	65.4294
