Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,16:31:00,16:36:04,16:41:04,16:46:04,16:51:04,16:56:04,17:01:04,17:06:04,17:11:04,17:16:04,17:21:04,17:26:04,17:31:04,17:36:04,17:41:04,17:46:04,17:51:04,17:56:04,18:01:04,18:06:04,18:11:04,18:16:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
20.9,3845.61,50129.7,157847,178273,219179,256101,279171,271957,191256,145820,100005,68767.7,48932.1,38629.3,25077.7,19210.2,11672.5,9458.38,8256.95,5761.54,4766.15,3038.84
21.7,4390.6,58987.7,141426,157178,190077,216990,241515,224954,167517,130172,88025.1,64008.8,48042.3,35124.7,26421.7,15430.2,12783.6,8892.16,6533.83,6749.15,5277.32,3433.68
22.5,3122.27,85696.2,119693,140574,158631,191441,212482,194885,148813,112695,81613.8,58917.6,40621.1,30946.2,22499.1,15867.3,12505.4,8224.95,7121.56,4739.87,6272.17,3245.91
23.3,2982.51,96096.3,104072,118360,137162,155443,172692,167398,130925,90031.5,73020.6,52707.8,37402.5,27005.1,20014.5,14691.3,9642.71,9263.96,6732.8,5453.59,5251.85,2658.77
24.1,2370.54,90389.3,95007.3,98632.9,111591,125174,146563,142864,110331,77242,59705.9,44686.2,31341.9,23613.7,17682.5,12592.7,10338.2,7603.62,5258.73,5521.48,3432.75,3326.49
25,2260.67,98049.6,89031,90022.6,98911.8,111093,125729,113801,96982.6,67275.5,56277.8,40435.6,29179.9,22006.9,18212.2,12317.9,8714.72,7246.02,5250.21,4830.67,3243.46,2859.38
25.9,1472.42,81029.8,72759.5,74025.9,81440.2,89424.3,100711,95164.1,81075,57811.7,44116.9,34760.1,21759.2,20209.3,15238.1,9742.78,6853.66,6501.77,4864.8,2624.1,2003.67,2217.63
26.9,1318.79,62846.5,67474,70655.7,75492.6,76700,85550.7,83065.9,68143.5,50388.8,37295.4,27793.9,20742.7,15570.9,12093.3,9636.4,6084.27,5751.42,4665.95,3203.05,2569.97,2547.99
27.9,900.187,66051.3,62830.4,59735.5,62576.5,69082.8,69282.8,70928.8,54213.2,42279.5,34787.9,25805.2,17731.8,14428.7,10584.3,7799.75,6307.69,4256.31,3839.33,2651.32,2531.59,1752.37
28.9,1157.45,68316.9,59474.4,56601.8,56875.2,59809.2,60125.4,60160.6,48246.4,36605.9,28920.2,19577.9,16737.1,11219.5,9547.27,6986.88,5601.1,4473.82,2701.72,2077.53,2125.85,2039.18
30,592.563,61664.9,51012.5,48151.6,52685.5,54581.1,54019.6,50751.2,39124.2,30435,23547,17043.1,12813.3,9311.13,7750.97,6129.87,5178.06,3472.5,2211,2132.26,1758.45,2005.41
31.1,526.2,52018,47470.6,45636.8,47102.5,47486.3,44075.5,44787.4,35946.1,26361.6,19413.5,14879.9,10525,7975.66,6803.35,4481.64,4504.26,2874.18,2167.42,1880.34,1130.64,1355.02
32.2,951.005,49302.7,45447,40149.3,42428.2,40981.3,40080.8,38681.4,30530.7,24616.2,18285.4,14561.6,10499.3,7228.72,5819.68,4604.92,3869.44,2685.4,2626.66,1570.43,1279.86,968.061
33.4,810.904,50166,39536,37450.9,36568,39183.4,37563.3,34732.2,28939.6,21167.6,15736.2,12326.6,7794.51,5596.21,5175.82,4113.44,2621.11,2149.13,2037.8,1486.66,1173.52,1074.62
34.6,657.533,45642.4,36820.7,34912.6,33486.3,33324.3,32088.6,33319,25239.9,19289.6,13446,10648.4,6846.26,6668.54,4757.54,3644.23,2654.72,1771.07,1442.69,1007.39,984.968,813.476
35.9,664.294,40124.6,32387.8,32257.6,31219.1,30196.8,29032.6,26737.6,22259.4,17624.3,12517.5,9644.25,7384.7,5782.84,3731.98,2897.17,2018.59,1794.48,1305.98,943.129,954.865,781.174
37.2,549.421,39997.2,31403.7,28732.3,29051.4,28656.8,26444,26357.5,20091.8,14763.6,11986.3,8374.66,6521.84,4661.52,3308.01,2528.09,2119.56,1812.49,1086.79,896.35,834.423,714.624
38.5,503.62,37476.6,28579.5,26613.3,25367.8,24768.5,21653.6,23471.3,18509.2,13663.3,9696.2,7543.24,5285.52,3759.17,3749.48,2986.98,1953.79,1824.95,1438.12,889.747,702.925,645.353
40,607.155,36149.4,27531.9,24737,22910.3,23085.9,22073.9,20157.2,15857.9,12167.7,8472.67,7158.53,5082.61,3363.87,3189.9,2381.23,1750.04,1318.56,881.338,1411.76,1159.43,862.685
41.4,889.717,31623.4,25474.2,23979.5,21049.4,20711.7,21128.7,19369,14699.2,10949.3,8973.86,6764.78,4751.49,3608.94,2692.38,2070.33,1590.21,1416.8,1107.76,1124.23,495.474,503.388
42.9,501.195,29348.6,21792.7,22096.6,19991.2,19231.5,17926.8,17768.9,13600.4,8953.26,7885.72,5738.57,4766.19,2887.1,2425.84,1991.03,1593.65,1338.19,1069.94,741.033,664.663,510.657
44.5,544.401,30594.1,21211.7,18889.9,16943.9,16872.3,17319,15587.9,13661.3,8919.42,7121.31,5009.28,3868.63,2943.82,2320.53,1523.07,1283.04,1025.53,981.919,548.869,492.254,451.425
46.1,798.143,28822.8,18694.2,18134.1,17139.7,16182.7,15229.7,14156.7,10915.7,8399.89,6243.37,4669.98,3505.68,2845.68,2094.4,2109.84,1266.51,1009.49,890.025,676.853,684.017,596.864
47.8,446.447,26518.4,17906.5,16148.3,16204.5,15687.8,13246.5,12322.8,10435.6,8307.69,5999.88,4282.71,3272.38,2219.84,1721.38,1735.49,1279.92,998.768,908.75,670.203,633.115,380.476
49.6,483.936,25620.9,16385.4,14769.7,15198.8,13950.4,12755,11937.5,8684.23,6999.57,5406.19,3889.36,2939.17,1917.61,1690.76,1461.09,1187.8,715.027,589.206,712.977,594.168,348.278
51.4,522.73,23178.7,15795.9,14599.5,14013.7,12544.6,12032.1,11382.2,8717.66,6087.41,5157.83,3897.7,2653.9,2052.54,1663.72,1680.54,877.569,925.738,879.8,419.516,749.737,389.831
53.3,305.76,22738.2,13191.2,13433.3,12614.7,12076.5,11531.1,11571.1,7311.92,5419.95,5102.77,3446.42,2719.16,1922.79,1915.75,1218.6,960.875,865.821,725.521,556.996,655.089,266.596
55.2,472.194,18384.8,14485.1,12446.7,11214.1,11437.7,10673.7,10687,7853.55,5778.33,4224.25,3081.49,2448.69,2109.97,1604.96,1133.4,841.824,682.496,439.726,606.507,407.068,352.389
