Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
18.8,1790.97,136975,239302,493467,818282,965143,920274,783020,608378,396824,255030,181258,120226,86858.3,55012,40695.8,29391.2,19245.7,15579,9089.26,6949.1,4717.38,2951.84,2647.04
19.5,1805.01,189815,207471,395226,699046,850290,862292,745759,594704,399127,266670,185508,124737,89857.4,60035.7,41786.4,30268.6,20368.9,12684.5,9033.18,6722.59,4709.05,3051.38,2067.31
20.2,1393.97,238400,187688,324138,571525,758563,791762,713135,588216,399931,256535,197114,127608,91989.3,63924.9,43922.1,29938.6,21479.5,14652.8,9958.9,7276.85,6473.78,2760.08,3248.56
20.9,1700.02,241679,163261,264304,472148,656332,705866,665227,572102,382739,248868,186736,126234,91812.9,61467.6,46369,32540,23698,15152.7,11609.9,8343.83,5195.59,3529,3349.47
21.7,1513.32,211888,144622,225474,378850,554429,640779,620820,545788,361113,262216,178718,132846,87307.3,61191.5,46204.8,29366.6,20975.2,14717.2,11622,8394.86,5730.97,3733.8,2665.52
22.5,2181.63,197055,132685,188738,317460,464546,559706,561899,513518,347333,262846,176307,126573,84275.6,61601.2,44620.2,30803.9,23987.1,16929.7,12005.7,9182.11,7537.8,3610.71,3278.65
23.3,760.253,159879,121801,158690,257466,389043,487390,509241,477881,322471,243692,170692,129755,89183.7,61256.5,44883.8,33203.8,22816,16393.7,12999.1,7723.35,5891.6,4120.4,2843.01
24.1,1716.33,126073,107207,137618,214282,324621,419096,446551,426813,302808,217215,162629,126071,84539,62870.2,42501,30312.8,22233.5,15714.4,12464.3,8241.17,6993.42,5845.82,2975.75
25,1070.26,108522,94187,120573,173476,254071,349669,393557,380565,283707,211788,149807,118720,80786.7,60961.3,41951.4,32869.2,23440.2,17365.4,12830.9,8630.63,6002.91,4050.55,3405.18
25.9,2238.85,88219.2,87953.3,98236.3,150246,206453,291302,341063,342264,275560,194449,143836,111820,75837.7,57297.9,38930.6,31171.5,20638.6,16782.1,12595.3,8824.1,6698.13,4262.68,3213.4
26.9,1417.97,73821.9,74980.4,89404.2,121406,178396,242400,287236,300441,225578,171558,131267,92854.3,70971,54653.8,39506.4,29274.2,20656.6,16300.5,11254.9,8334.4,6595.94,5087.2,3410.69
27.9,1647.37,51790.3,64517.3,80233.7,102228,134763,195068,235461,257900,197163,158778,111041,83554.6,66317.8,49756.7,37098.7,26197.6,18999.3,15962.3,11262,8903.92,6327.87,4701.03,3928.62
28.9,1874.47,45322,57771.7,67416.5,83729.2,118784,161009,196299,222358,169805,139063,104856,80168.4,58770.7,44720.4,31889.6,24872.4,18541.2,14037.7,10044.8,7849.24,6152.83,4193.04,3400.9
30,1904.68,37471.5,47668,59420.4,73395.7,91146.1,128358,156563,178957,145573,113765,89944.7,64950.9,49969.7,39302.6,30312.2,21968.5,16286.8,13164.7,9145.25,6736.52,4891.89,3791.23,3533.33
31.1,1460.08,29932.7,42858,49381.4,58864.1,77826.4,106523,127161,147868,121530,99073.9,78722.5,55173.1,45011.5,34426.1,25511.8,19430.1,15419,12003.9,8469.05,6950.77,5689.05,4219.75,2617.58
32.2,1861.16,32940.6,37917,41915.3,49293.6,62831.4,83217.6,103460,119930,99620.7,81193.5,63739.1,48344.1,38747.8,28512,21778.5,18261.6,14498.7,9921.46,7626.82,5472.35,4999.84,3504.51,2281.68
33.4,3616.57,32314,32778.2,34723.9,41650.7,51873.1,69251.5,83511.2,95343.4,81729.5,65277.4,52648,41374.5,31314.8,24317.9,18312.7,14400.5,12473.6,8061.27,7347.86,5825.39,4915.27,2979.82,3119.92
34.6,1773.78,25038.2,27741.8,29035.2,33862.4,42610.5,54080.6,66366.9,75209.1,64751.7,53486.2,40241.7,33047.9,28251.6,20866.6,15889.3,13706.8,10792.5,7573.95,6071.64,4826.19,3605.55,3021.6,2420.44
35.9,1630.77,18991.8,21813.2,23837.4,28739.2,34337.3,44363.7,49708.5,58362.4,48854.3,42768.7,34020.5,28084.4,22480.9,17993.9,12995.7,10105.9,8520.12,6668.64,4672.14,3792.22,3202.87,2050.87,1533.04
