Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017
Start Time,9:42:00,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04,10:17:04,10:22:04,10:27:04,10:32:04,10:37:04,10:42:04,10:47:04,10:52:04,10:57:04,11:02:04,11:07:04,11:12:04,11:17:04,11:22:04,11:27:04,11:32:04,11:37:04,11:42:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
27.9,1786.5,2374.73,2344.85,2592.11,2014.87,2747.93,1945.06,2245.17,1461.58,2598.45,4329.9,4399.42,3895.21,2559.18,2754.69,3338.49,3063.57,2297.82,2222.58,2253.72,2504.81,2240.88,1841.77,2034.33,1735.8
28.9,1881.33,2264.97,1993.23,2585.6,1816.9,2367.96,2018.75,1753.83,2138.95,1448.29,3961.13,3758.88,3045.12,3131.38,3033.94,2563.43,2724.53,2484.73,2274.27,2701.93,1842.7,2324.49,2051.16,2272.76,1760.88
30,2045.24,3087.05,2361.43,2368.22,1769.5,1953.46,2442.09,1846.98,1713.57,1849.62,3535.64,3529.12,3632.99,3806.65,2969.95,2054.44,2920.76,2548.21,2735.75,2302.02,1986.49,2151.66,2074.14,1742.42,1991.74
31.1,1940.4,1952.13,1691.92,1756.67,1723.18,1918.12,1712.43,2013.01,2443.8,1821.3,3595.74,3802.44,2938.28,3546.85,2576.96,2061.96,2348.24,2328.38,2211.66,2405.93,2584.83,2450.26,2092.67,1479.15,1738.07
32.2,1611.5,1822.92,2171.14,2452.01,1974.7,1778.09,1945.43,1572.3,1787.62,1879.34,3912.64,3259.87,3507.98,2717.19,2225.22,2422.35,2497.53,2269.48,1749.31,1771.98,1812.48,1344.47,1620.32,1612.05,1822.73
33.4,1506.36,2231.46,1746,2174.15,1608,1563.33,1245.58,1651.69,1392.25,1445.45,3518.72,3138.97,2686.67,2898.67,2481.81,3235.73,2877.25,2263.01,2003.09,1913.92,2250.71,1977.59,1683.17,1758.51,1460.16
34.6,1775.87,1895.62,1886.13,2047.25,1871.42,1386.95,1216.96,1387.65,1720.04,1549.01,3168.22,2650.76,2696.98,2972.84,2292.95,1967.06,2386.25,2340.88,2468.97,1706.05,1923.94,1573.52,1703.58,1427.02,1539.39
35.9,1632.03,2117.08,1472.08,1728.75,1186.92,1291.8,1571.18,1301.25,1614.99,1815.3,2923.93,2977.96,2804.32,2780.02,2435.25,1723.92,2659.75,1658.66,1718.69,1624.66,1568.49,1645.59,1425.67,1472.03,1168.41
37.2,1108.98,1777.09,1563.65,1496.73,1346.23,1244.29,1272.73,1892.27,1725.04,1563.61,2847.34,2979.12,2171.05,2039.22,2421.78,1906.11,2039.78,1534.1,2019.95,1563.8,1924.67,1392.42,1610.97,1369.74,1451.68
38.5,1338.67,1883.87,1288.8,1440.46,1063.13,1138.35,1208.33,1390.98,1028.01,1178.04,2587.98,2917.82,2498.01,2147.55,2309.53,2261,1699.06,1738.26,1921.09,1576.96,1209.5,1262.1,1172.72,1481.59,1415.39
40,805.678,1393.97,1259.95,1407.49,1619.77,1475.49,1601.91,1230.66,1326.43,1325.08,3067.68,2196.98,2250.83,2181.1,1872.99,1779.21,1703.4,1648.38,1273.12,1525.3,1534.77,1338.93,1222.67,898.733,1191.06
41.4,1613.12,1082.75,931.815,1249.68,1550.32,1216.3,1039.02,1467.77,1537.1,1238.2,2367.55,2490.16,2773.95,1839.49,1818.12,1924.08,1424.9,1894.98,1654.19,1504.43,1239.32,1303.94,1224.36,1084.77,1368.47
42.9,995.115,1497.94,1239.25,1204.68,1212.66,1337.33,1334.4,1263.56,1110.08,1205.26,2711.67,2064.9,1808.45,2247.01,1962.65,1557.48,1363.2,1524.33,1701.12,1321.58,1419.16,1217.89,1106.05,1224.8,1364.33
44.5,1232.74,1386.65,1733.26,928.452,1135.71,1254.01,1180.31,820.725,1070.1,1323.48,2573.21,2140.92,2080.98,1680.2,1243.85,1915.08,1382.67,1473.02,1178.88,1341.94,1411.57,1302.68,1188.73,1010.33,1010.92
46.1,1339.32,1421.54,1136.33,862.857,1137.27,909.708,1243.16,1170.59,967.606,1305.37,2429.02,2442.23,1788.18,1741.33,1266.99,1598.17,1450.16,1137.28,1619.34,1343.1,1457.94,1290.34,1077.38,1326.95,778.789
47.8,1039.95,1402.75,1404.66,1217.12,1006.47,1306.48,922.586,1041.24,800.918,1377.09,2000.49,2008.63,1397.37,1708.82,1694.2,1872.23,1258.4,1659.85,1496.78,884.948,1102.45,1109.42,1098.27,1156.07,1196.95
49.6,734.265,1583.12,855.456,1049.16,1723.89,1008.68,781.192,1145.7,1044.73,963.021,2542.86,2293.21,1746.24,2074.53,1736.12,1639.59,1494.12,1464.98,1349.58,1286.81,1294.19,1193.43,755.745,970.015,916.412
51.4,930.553,926.231,1341.19,857.483,1627.05,954.861,858.481,1068.89,997.268,925.608,1650.08,1788.65,1752.73,1481.01,1748.92,1355.42,1215.69,1328.84,1113.05,1252.83,1145.43,1296.04,701.057,791.617,889.435
