Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\Low 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	11:40:53	11:45:57	11:50:57	11:55:57	12:00:57	12:05:57	12:10:57	12:15:57	12:20:57	12:25:57	12:30:57	12:35:57	12:40:57	12:45:57	12:50:57	12:55:57	13:00:57	13:05:57	13:10:57	13:15:57	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57
Diameter Midpoint
 35.9	801.996	1285.18	1384.18	1579.39	1357.62	1857.15	1269.74	1278.04	1172.95	1775.61	2999.67	3366.35	2957.73	2913.5	2097.57	2237.1	2254.86	2246.16	2102.09	2037.45	2304.17	1725.89	1817.7	1981.01	2253.12
 37.2	991.792	1355.02	1466.86	893.23	1401.46	1131.21	1236.6	1476.02	1034.27	1642.53	3415.48	2428.75	2558.47	2146.34	1943.1	2539.75	2209.61	2251.1	1966.98	1670.99	1890.61	1962.54	1863.58	1276.03	1402.12
 38.5	2093.97	1202.49	1716.37	1134.03	1124.1	1522.83	1501.1	1075.15	1280.71	1449.29	2996.51	2497.59	2171.7	2619.04	2168.64	2542.28	1633.48	2471.85	1974.55	1880.12	1903.32	1682.27	1994.37	1770.99	1762.67
 40.0	2680.06	1139.54	1291.7	1373.16	1760.93	1250.83	1226.23	910.577	1203.07	814.637	2741.29	2884.85	2718.47	2176.76	2037.84	2080.51	1927.26	1816.03	2100.62	2214.11	1403.65	1747.08	1141.54	1989.42	1614.35
 41.4	914.073	1506.14	1205.9	1252.19	1040.69	869.444	1101.03	930.795	1403.22	1065.73	2681.63	2615.49	2027.55	1863.11	1779.26	2396.09	1811.51	2168.5	1448.59	1567.28	1640.85	1470.44	1914.78	1180.23	1213.06
 42.9	743.881	1102.2	897.715	1367.13	1583.19	1126.33	953.694	861.352	1620.17	1203.73	2903.58	1884.33	1912.86	1840.78	2166.89	1719.52	2120.44	2228.54	1298.31	1384.68	1424.01	1338.42	1440.48	1750.47	1138.31
 44.5	960.711	1000.24	1176.09	1173.39	1127.32	1141.72	1327.07	1168.93	1017.63	1056.9	2647.02	2398.18	2163.63	2155.79	1661.13	1952.57	1988.49	1948.99	1704.44	1390.23	1816.98	1722.61	1513.68	1627.4	1297.19
 46.1	1206.88	1372.61	837.963	1315.7	711.514	1055.51	1160.75	691.168	1074.4	850.928	2480.73	2137.94	2477.98	2463.97	2524.91	1701.66	1420.37	1398.11	1558.34	1434.68	1596.61	1858.78	1719.36	1375.27	1396.52
 47.8	505.37	915.835	1435.51	1339.71	1484.98	911.325	880.488	832.073	970.268	1029.48	2205.12	1988.49	1959.12	1744.09	1809.69	1827.85	1720.2	1696.65	1545.92	2010.56	1637.29	1171.31	1600.59	1116.54	1251.3
 49.6	1050.46	1334.31	1138.77	1050.08	1080.3	896.76	746.592	1189.49	1041.72	878.277	2626.9	2186.23	1854.7	1893.61	1802.95	1715.71	1704.47	1634.3	1601.03	1693.33	1313.4	1589.58	1240.34	921.6	1260.62
