Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\High 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	13:50:22	13:55:26	14:00:26	14:05:26	14:10:26	14:15:26	14:20:26	14:25:26	14:30:26	14:35:26	14:40:26	14:45:26	14:50:26	14:55:26	15:00:26	15:05:26	15:10:26	15:15:26	15:20:26	15:25:26	15:30:26	15:35:26	15:40:26	15:45:26	15:50:26
Diameter Midpoint
 40.0	1540.19	1313.29	1491.81	1303.54	1682.13	1730.33	1682.86	929.038	1451.08	961.707	2104.81	1961.13	1608.66	1824.55	2020.4	1633.84	1582.63	1439.93	1366.65	1347.27	1544.64	1198.07	1079.59	1068.18	994.172
 41.4	1535.18	1379.13	1275.99	1592.03	1540.52	1201.81	1733.74	1463.64	980.495	1273.22	2207.94	1851.15	1836.16	2249.36	2039.79	1540.3	1733.23	1466	1159.49	1216.45	1255.77	1086.91	1059.01	1291.78	1918.22
 42.9	1581.58	1457.44	1311.47	1315.27	1149.03	1276.26	1146.26	1022.78	933.66	945.8	2071.66	1641.9	1864.98	1412.04	1801.32	1610.64	1529.93	1365.04	1271.62	1223.29	1663.53	1056.12	1414.82	1050.66	1116.57
 44.5	1395.07	1628.53	985.129	848.149	1303.83	1109.96	771.896	907.824	796.436	1112.76	2115.02	2148.1	1420.18	1680.41	1233.55	1563.56	1035.13	1250.96	1169.37	924.944	1143.29	1148.46	1108.02	810.526	1026.35
 46.1	1545.2	1243.34	1309.44	1233.25	1143.65	1105.39	1176.97	1345.01	1149.2	949.922	1848.12	1431.27	2078.78	1465.13	1162.05	1325.55	1332.15	1095.7	1315.91	1233.11	1060.88	1269.56	763.641	984.262	1114.32
 47.8	1561.55	1185.96	1064.47	1249.11	1358.74	1215.61	994.42	871.088	940.591	1253.87	1791.37	1678.22	1413.13	1623.81	1400.16	1463.53	1361.68	868.924	1165.08	678.69	1042.34	846.258	1060.57	855.991	940.317
 49.6	1024.15	1320.69	962.498	1233.03	1144.48	942.568	1052.17	1158.93	979.451	1087.8	1677.71	1819.53	1430.05	1240.57	1241.18	1379.89	1261.82	886.077	1380.66	1151.54	1014.09	851.88	1047	872.428	1033.29
 51.4	1033.38	1284.84	998.916	1432.14	1167.49	1273.59	934.621	1095.06	760.334	1058.52	1803.46	1629.02	1590.87	1280.28	1371.27	1145.1	951.275	1135.1	1086.2	1130.1	980.881	1033.78	925.309	813.233	766.537
 53.3	1200.26	1177.57	864.812	1291.78	943.805	708.418	752.951	993.748	1007.6	805.416	1600.96	1711.8	1465.37	1313.1	1266.12	1138.73	931.12	1051.82	1110.37	938.863	778.271	958.454	742.515	762.678	727.184
 55.2	1483.94	1045.19	1171.03	1006.12	1061.81	863.766	1178.78	933.644	913.168	1059.29	1801.63	1698.14	1584.8	1270.82	1435.49	1046.49	1246.13	1077.1	1060.53	896.393	744.323	970.618	874.501	982.642	979.659
